NoteID,ReviewLane,RiskReasons,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PresentationStatus,PresentationSource
KV000766,reuse-guardrail,,scarf,围巾,,I wear a scarf in winter.,我冬天戴围巾。,migrated-curated,rj_start1:curation
KV000768,reuse-guardrail,,pupil,小学生；学生,,He is a primary school pupil.,他是一名小学生。,migrated-curated,rj_start1:curation
KV000769,reuse-guardrail,,arrive,到达,,We arrived in Toronto yesterday.,我们昨天到达多伦多。,migrated-curated,rj_start1:curation
KV000771,reuse-guardrail,,wardrobe,衣柜,,My clothes are in the wardrobe.,我的衣服在衣柜里。,migrated-curated,rj_start1:curation
KV000772,reuse-guardrail,,show ... around,带……参观,,I will show you around our school.,我会带你参观我们的学校。,migrated-curated,rj_start1:curation
KV000773,reuse-guardrail,,Queen's Park,皇后公园,,We visited Queen's Park yesterday.,我们昨天参观了皇后公园。,migrated-curated,rj_start1:curation
KV000774,reuse-guardrail,,art gallery,美术馆,,We saw many paintings at the art gallery.,我们在美术馆看到了许多画。,migrated-curated,rj_start1:curation
KV000775,reuse-guardrail,,public library,公共图书馆,,We read books at the public library.,我们在公共图书馆看书。,migrated-curated,rj_start1:curation
KV000776,reuse-guardrail,,downtown,市中心；在市中心,,We took the subway downtown.,我们乘地铁去了市中心。,migrated-curated,rj_start1:curation
KV000777,reuse-guardrail,,Lake Ontario,安大略湖,,Toronto is beside Lake Ontario.,多伦多在安大略湖畔。,migrated-curated,rj_start1:curation
KV000778,reuse-guardrail,,stadium,体育场,,We watched a game at the stadium.,我们在体育场看了一场比赛。,migrated-curated,rj_start1:curation
KV000780,reuse-guardrail,,sandwich,三明治,,I had a sandwich for lunch.,我午饭吃了一个三明治。,migrated-curated,rj_start1:curation
KV000781,reuse-guardrail,duplicate-surface-multi-sense,top,顶部；顶端,,We went to the top of the tower.,我们去了塔顶。,migrated-curated,rj_start1:curation
KV000785,reuse-guardrail,,at least,至少,,I read for at least twenty minutes.,我至少阅读二十分钟。,migrated-curated,rj_start1:curation
KV000786,reuse-guardrail,,talk about,谈论；讨论,,We talked about healthy habits.,我们讨论了健康习惯。,migrated-curated,rj_start1:curation
KV000787,reuse-guardrail,,hockey,冰球；曲棍球,,Hockey is popular in Canada.,冰球在加拿大很受欢迎。,migrated-curated,rj_start1:curation
KV000788,reuse-guardrail,,beaver,海狸,,The beaver lives near water.,海狸生活在水边。,migrated-curated,rj_start1:curation
KV000789,reuse-guardrail,,raccoon,浣熊,,A raccoon has a black mask.,浣熊脸上有黑色的斑纹。,migrated-curated,rj_start1:curation
KV000790,reuse-guardrail,,moose,驼鹿,,A moose is a large animal.,驼鹿是一种大型动物。,migrated-curated,rj_start1:curation
KV000793,reuse-guardrail,,roast turkey,烤火鸡,,We had roast turkey for dinner.,我们晚饭吃了烤火鸡。,migrated-curated,rj_start1:curation
KV000794,reuse-guardrail,,squirrel,松鼠,,A squirrel can climb trees.,松鼠会爬树。,migrated-curated,rj_start1:curation
KV000795,reuse-guardrail,,swan,天鹅,,The swan is swimming on the lake.,天鹅正在湖上游泳。,migrated-curated,rj_start1:curation
KV000796,reuse-guardrail,,wild goose,大雁；野雁,,Wild geese fly south in autumn.,大雁秋天向南飞。,migrated-curated,rj_start1:curation
KV000797,reuse-guardrail,,frog,青蛙,,A frog can jump and swim.,青蛙会跳也会游泳。,migrated-curated,rj_start1:curation
KV000798,reuse-guardrail,,English-Chinese dictionary,英汉词典,,I use an English-Chinese dictionary.,我使用英汉词典。,migrated-curated,rj_start1:curation
KV000799,reuse-guardrail,,shopping centre,购物中心,,There are many shops in the shopping centre.,购物中心里有很多商店。,migrated-curated,rj_start1:curation
KV000800,reuse-guardrail,,shopping mall,购物中心；商场,,We went shopping at the mall.,我们去商场购物了。,migrated-curated,rj_start1:curation
KV000801,reuse-guardrail,,amazing,令人惊叹的；了不起的,,The CN Tower is amazing.,加拿大国家电视塔令人惊叹。,migrated-curated,rj_start1:curation
KV000802,reuse-guardrail,,hot pot,火锅,,We ate hot pot together.,我们一起吃了火锅。,migrated-curated,rj_start1:curation
KV001195,new-high-risk,digit-form,100-meter race,100米赛跑,,Leo won the 100-meter race.,利奥赢得了100米赛跑。,model-curated-pending-review,third-party-learner-content-v1
KV001196,new-high-risk,digit-form,20th,第二十；20日,,My birthday is on the 20th.,我的生日在20日。,model-curated-pending-review,third-party-learner-content-v1
KV001197,new-high-risk,digit-form,21st,第二十一；21日,,The school show is on the 21st.,学校演出在21日。,model-curated-pending-review,third-party-learner-content-v1
KV001198,new-high-risk,digit-form,22nd,第二十二；22日,,We will leave on the 22nd.,我们将在22日出发。,model-curated-pending-review,third-party-learner-content-v1
KV001199,new-high-risk,digit-form,23rd,第二十三；23日,,The game is on the 23rd.,比赛在23日。,model-curated-pending-review,third-party-learner-content-v1
KV001200,new-high-risk,digit-form,2nd,第二；2日,,Our classroom is on the 2nd floor.,我们的教室在二楼。,model-curated-pending-review,third-party-learner-content-v1
KV001201,new-high-risk,digit-form,30th,第三十；30日,,The trip starts on the 30th.,旅行在30日开始。,model-curated-pending-review,third-party-learner-content-v1
KV001202,new-high-risk,digit-form,31st,第三十一；31日,,The month ends on the 31st.,这个月在31日结束。,model-curated-pending-review,third-party-learner-content-v1
KV001203,new-high-risk,digit-form,3rd,第三；3日,,She came 3rd in the race.,她在比赛中得了第三名。,model-curated-pending-review,third-party-learner-content-v1
KV001204,new-high-risk,digit-form,4th,第四；4日,,This is my 4th visit here.,这是我第四次来这里。,model-curated-pending-review,third-party-learner-content-v1
KV001211,new-high-risk,multi-meaning-label,a piece of,一块；一片；一件,,May I have a piece of cake?,我可以吃一块蛋糕吗？,model-curated-pending-review,third-party-learner-content-v1
KV001214,new-high-risk,multi-meaning-label,aboard,在船上；在飞机上；在火车上,,All the children are aboard the train.,所有孩子都在火车上。,model-curated-pending-review,third-party-learner-content-v1
KV001229,new-high-risk,multi-meaning-label,again,再；又；再一次,,Please say the word again.,请把这个词再说一遍。,model-curated-pending-review,third-party-learner-content-v1
KV001249,new-high-risk,sense-note-parenthetical,am,是（be 的第一人称单数现在式）,,I am happy today.,我今天很开心。,model-curated-pending-review,third-party-learner-content-v1
KV001262,new-high-risk,sense-note-parenthetical multi-meaning-label,are not,不是；没有；不（are 的否定形式）,,These books are not mine.,这些书不是我的。,model-curated-pending-review,third-party-learner-content-v1
KV001271,new-high-risk,sense-note-parenthetical,at all,根本；完全（用于否定或疑问）,,I do not like this game at all.,我根本不喜欢这个游戏。,model-curated-pending-review,third-party-learner-content-v1
KV001284,new-high-risk,multi-meaning-label,auntie,阿姨；姑妈；姨妈,,My auntie lives near our school.,我的阿姨住在我们学校附近。,model-curated-pending-review,third-party-learner-content-v1
KV001307,new-high-risk,sense-note-parenthetical multi-meaning-label,bar,条；棒；块（食品）,,I ate a bar of chocolate.,我吃了一块巧克力。,model-curated-pending-review,third-party-learner-content-v1
KV001313,new-high-risk,sense-note-parenthetical,be,是；成为（be 的原形）,,I want to be a doctor one day.,我将来想成为一名医生。,model-curated-pending-review,third-party-learner-content-v1
KV001324,new-high-risk,multi-meaning-label,beauty,美；美丽；美景,,We stopped to enjoy the beauty of the lake.,我们停下来欣赏湖的美景。,model-curated-pending-review,third-party-learner-content-v1
KV001354,new-high-risk,sense-note-parenthetical,board,上车；登上（交通工具）,,We will board the train at ten.,我们十点上火车。,model-curated-pending-review,third-party-learner-content-v1
KV001384,new-high-risk,duplicate-surface-multi-sense,brush,画笔；毛笔,,She painted the flower with a small brush.,她用一支小画笔画了那朵花。,model-curated-pending-review,third-party-learner-content-v1
KV001397,new-high-risk,multi-meaning-label,burn,燃烧；烧伤；烧毁,,Do not burn the paper.,不要烧这张纸。,model-curated-pending-review,third-party-learner-content-v1
KV001403,new-high-risk,duplicate-surface-multi-sense,button,纽扣,,This shirt has a missing button.,这件衬衫少了一颗纽扣。,model-curated-pending-review,third-party-learner-content-v1
KV001404,new-high-risk,duplicate-surface-multi-sense,button,按钮,,Press the green button to start.,按绿色按钮开始。,model-curated-pending-review,third-party-learner-content-v1
KV001405,new-high-risk,duplicate-surface-multi-sense sense-note-parenthetical,by,用；乘（表示方式或手段）,,We went there by train.,我们乘火车去了那里。,model-curated-pending-review,third-party-learner-content-v1
KV001430,new-high-risk,multi-meaning-label,carry,拿；携带；搬运,,Can you carry this box for me?,你能帮我搬这个盒子吗？,model-curated-pending-review,third-party-learner-content-v1
KV001437,new-high-risk,acronym-or-allcaps,CD,光盘；激光唱片,,I found an old music CD.,我找到了一张旧音乐光盘。,model-curated-pending-review,third-party-learner-content-v1
KV001439,new-high-risk,acronym-or-allcaps sense-note-parenthetical,CD-ROM,只读光盘（CD-ROM）,,The dictionary came on a CD-ROM.,这本词典附带一张只读光盘。,model-curated-pending-review,third-party-learner-content-v1
KV001442,new-high-risk,sense-note-parenthetical,cent,分（货币单位）,,This candy costs fifty cents.,这块糖果五十美分。,model-curated-pending-review,third-party-learner-content-v1
KV001475,new-high-risk,long-example,Chinese New Year's Eve,除夕夜,,We have a big dinner on Chinese New Year's Eve.,除夕夜我们吃一顿丰盛的晚饭。,model-curated-pending-review,third-party-learner-content-v1
KV001561,new-high-risk,duplicate-surface-multi-sense,cut,伤口；割伤,,He has a small cut on his finger.,他的手指上有一个小伤口。,model-curated-pending-review,third-party-learner-content-v1
KV001562,new-high-risk,duplicate-surface-multi-sense,cut,切；割,,Please cut the apple in half.,请把苹果切成两半。,model-curated-pending-review,third-party-learner-content-v1
KV001570,new-high-risk,long-example,danger,危险,,Do not go near the fire because it is a danger.,不要靠近火因为它很危险。,model-curated-pending-review,third-party-learner-content-v1
KV001602,new-high-risk,duplicate-surface-multi-sense,do,做；干,,What do you want to do today?,你今天想做什么？,model-curated-pending-review,third-party-learner-content-v1
KV001639,new-high-risk,sense-note-parenthetical,Dunvegan Castle,Dunvegan Castle（城堡名）,,We visited Dunvegan Castle in Scotland.,我们参观了苏格兰的Dunvegan Castle。,model-curated-pending-review,third-party-learner-content-v1
KV001642,new-high-risk,acronym-or-allcaps,DVD,DVD；数字光盘,,We watched the film on DVD.,我们用DVD看了这部电影。,model-curated-pending-review,third-party-learner-content-v1
KV001650,new-high-risk,sense-note-parenthetical,Edinburgh,爱丁堡（英国城市）,,Edinburgh is a city in Scotland.,爱丁堡是苏格兰的一座城市。,model-curated-pending-review,third-party-learner-content-v1
KV001651,new-high-risk,sense-note-parenthetical,Edison,爱迪生（美国发明家）,,Edison was a famous American inventor.,爱迪生是一位著名的美国发明家。,model-curated-pending-review,third-party-learner-content-v1
KV001664,new-high-risk,multi-meaning-label,end,结束；末尾；尽头,,We reached the end of the road.,我们到了这条路的尽头。,model-curated-pending-review,third-party-learner-content-v1
KV001694,new-high-risk,sense-note-parenthetical,fairest,最美的（fair 的最高级）,,She was called the fairest girl in the story.,故事里她被称为最美的女孩。,model-curated-pending-review,third-party-learner-content-v1
KV001720,new-high-risk,sense-note-parenthetical,fill out,填写；填好（表格）,,Please fill out this form.,请填写这张表格。,model-curated-pending-review,third-party-learner-content-v1
KV001723,new-high-risk,multi-meaning-label,find out,查明；弄清；发现,,I want to find out why the light is off.,我想弄清楚灯为什么灭了。,model-curated-pending-review,third-party-learner-content-v1
KV001724,new-high-risk,duplicate-surface-multi-sense multi-meaning-label,fine,好的；健康的；不错的,,I am fine today.,我今天很好。,model-curated-pending-review,third-party-learner-content-v1
KV001735,new-high-risk,sense-note-parenthetical,five-stones,(抛掷五颗小石子的)五子游戏,,We played five-stones after class.,下课后我们玩了五子游戏。,model-curated-pending-review,third-party-learner-content-v1
KV001738,new-high-risk,sense-note-parenthetical,Flag Day,国旗日（美国，6月14日）,,Some Americans display flags on Flag Day.,一些美国人在国旗日悬挂国旗。,model-curated-pending-review,third-party-learner-content-v1
KV001739,new-high-risk,sense-note-parenthetical,flat,瘪的；没气的（轮胎）,,My bike tire is flat.,我的自行车轮胎没气了。,model-curated-pending-review,third-party-learner-content-v1
KV001747,new-high-risk,duplicate-surface-multi-sense,fly,苍蝇,,A fly landed on the table.,一只苍蝇落在桌上。,model-curated-pending-review,third-party-learner-content-v1
KV001777,new-high-risk,multi-meaning-label,funny,有趣的；好笑的；滑稽的,,That funny story made us laugh.,那个好笑的故事把我们逗笑了。,model-curated-pending-review,third-party-learner-content-v1
KV001805,new-high-risk,sense-note-parenthetical,Glasgow,格拉斯哥（英国城市）,,Glasgow is a city in Scotland.,格拉斯哥是苏格兰的一座城市。,model-curated-pending-review,third-party-learner-content-v1
KV001820,new-high-risk,multi-meaning-label,gold,金；黄金；金色,,The ring is made of gold.,这枚戒指是金子做的。,model-curated-pending-review,third-party-learner-content-v1
KV001828,new-high-risk,acronym-or-allcaps,GPS,全球定位系统；GPS,,We used GPS to find the hotel.,我们用GPS找到了旅馆。,model-curated-pending-review,third-party-learner-content-v1
KV001831,new-high-risk,multi-meaning-label,grandchild,孙子；孙女；外孙；外孙女,,Their first grandchild was born last year.,他们的第一个孙辈去年出生了。,model-curated-pending-review,third-party-learner-content-v1
KV001832,new-high-risk,sense-note-parenthetical,grandchildren,孙辈；孙子孙女（grandchild 的复数）,,Grandma loves spending time with her grandchildren.,奶奶喜欢和孙辈们待在一起。,model-curated-pending-review,third-party-learner-content-v1
KV001847,new-high-risk,duplicate-surface-multi-sense,grocery,食品杂货；杂货,,We bought some grocery items for dinner.,我们买了一些晚餐用的食品杂货。,model-curated-pending-review,third-party-learner-content-v1
KV001893,new-high-risk,multi-meaning-label,heat,热；热量；高温,,The heat made us thirsty.,高温让我们口渴。,model-curated-pending-review,third-party-learner-content-v1
KV001895,new-high-risk,duplicate-surface-multi-sense,heavy,重的；沉重的,,This bag is too heavy for me.,这个包对我来说太重了。,model-curated-pending-review,third-party-learner-content-v1
KV001916,new-high-risk,multi-meaning-label,holiday,假日；假期；节日,,We are going to the beach for our holiday.,我们假期要去海边。,model-curated-pending-review,third-party-learner-content-v1
KV001941,new-high-risk,long-example,ice skate,冰鞋；溜冰鞋,,I put on my ice skates before going onto the rink.,我上冰场前穿上了冰鞋。,model-curated-pending-review,third-party-learner-content-v1
KV001943,new-high-risk,acronym-or-allcaps sense-note-parenthetical,ICT,信息与通信技术（ICT）,,We learn how computers communicate in ICT.,我们在信息与通信技术课上学习计算机怎样通信。,model-curated-pending-review,third-party-learner-content-v1
KV001960,new-high-risk,multi-meaning-label,inside,里面；在里面；在……里面,,The keys are inside the bag.,钥匙在包里面。,model-curated-pending-review,third-party-learner-content-v1
KV001971,new-high-risk,sense-note-parenthetical,iPad,iPad（苹果平板电脑）,,I read books on my iPad.,我用iPad读书。,model-curated-pending-review,third-party-learner-content-v1
KV001972,new-high-risk,sense-note-parenthetical,iPhone,iPhone（苹果手机）,,His iPhone is on the desk.,他的iPhone在桌上。,model-curated-pending-review,third-party-learner-content-v1
KV001973,new-high-risk,sense-note-parenthetical,iPod,iPod（苹果音乐播放器）,,She listened to music on her iPod.,她用iPod听音乐。,model-curated-pending-review,third-party-learner-content-v1
KV001980,new-high-risk,multi-meaning-label,Japanese,日本的；日本人；日语,,My friend is learning Japanese.,我的朋友正在学习日语。,model-curated-pending-review,third-party-learner-content-v1
KV001992,new-high-risk,multi-meaning-label,joy,欢乐；快乐；喜悦,,The good news filled us with joy.,这个好消息让我们充满喜悦。,model-curated-pending-review,third-party-learner-content-v1
KV002010,new-high-risk,multi-meaning-label,knock down,撞倒；击倒；拆倒,,The strong wind knocked down the old fence.,大风刮倒了旧栅栏。,model-curated-pending-review,third-party-learner-content-v1
KV002014,new-high-risk,acronym-or-allcaps,L.A.,洛杉矶,,L.A. is a large city in California.,洛杉矶是加利福尼亚州的一座大城市。,model-curated-pending-review,third-party-learner-content-v1
KV002032,new-high-risk,duplicate-surface-multi-sense,left,左边；左侧,,Turn left at the traffic lights.,在红绿灯处向左转。,model-curated-pending-review,third-party-learner-content-v1
KV002042,new-high-risk,duplicate-surface-multi-sense,lift,电梯,,We took the lift to the fifth floor.,我们乘电梯去了五楼。,model-curated-pending-review,third-party-learner-content-v1
KV002043,new-high-risk,duplicate-surface-multi-sense,lift,举起；抬起,,Can you lift this box?,你能抬起这个箱子吗？,model-curated-pending-review,third-party-learner-content-v1
KV002100,new-high-risk,multi-meaning-label,maybe,也许；可能；大概,,Maybe it will rain this afternoon.,今天下午也许会下雨。,model-curated-pending-review,third-party-learner-content-v1
KV002101,new-high-risk,sense-note-parenthetical,me,我（宾格）,,Can you help me with this box?,你能帮我搬这个箱子吗？,model-curated-pending-review,third-party-learner-content-v1
KV002111,new-high-risk,sense-note-parenthetical,men,男人；男性（man 的复数）,,Two men are carrying the table.,两个男人正在搬桌子。,model-curated-pending-review,third-party-learner-content-v1
KV002120,new-high-risk,sense-note-parenthetical,mice,老鼠（mouse 的复数）,,Two mice ran under the table.,两只老鼠跑到了桌子下面。,model-curated-pending-review,third-party-learner-content-v1
KV002131,new-high-risk,duplicate-surface-multi-sense sense-note-parenthetical,Miss,小姐；女士（称谓）,,Miss Wang is our English teacher.,王老师是我们的英语老师。,model-curated-pending-review,third-party-learner-content-v1
KV002132,new-high-risk,duplicate-surface-multi-sense,Miss,错过；想念,,I miss my grandparents when I am away.,我在外面时会想念爷爷奶奶。,model-curated-pending-review,third-party-learner-content-v1
KV002160,new-high-risk,duplicate-surface-multi-sense,much,许多；很多,,There is too much sugar in this drink.,这杯饮料里糖太多了。,model-curated-pending-review,third-party-learner-content-v1
KV002184,new-high-risk,sense-note-parenthetical,Nessie,尼斯湖水怪（Nessie）,,People tell stories about Nessie in Loch Ness.,人们讲述尼斯湖水怪Nessie的故事。,model-curated-pending-review,third-party-learner-content-v1
KV002214,new-high-risk,sense-note-parenthetical,not,不；没有（否定词）,,I am not tired today.,我今天不累。,model-curated-pending-review,third-party-learner-content-v1
KV002255,new-high-risk,sense-note-parenthetical,Ottawa,渥太华（加拿大首都）,,Ottawa is the capital of Canada.,渥太华是加拿大的首都。,model-curated-pending-review,third-party-learner-content-v1
KV002260,new-high-risk,multi-meaning-label,outing,郊游；远足；短途旅行,,Our class went on an outing to the zoo.,我们班去动物园郊游了。,model-curated-pending-review,third-party-learner-content-v1
KV002262,new-high-risk,duplicate-surface-multi-sense,over,在……上方；在……上面,,A plane flew over the city.,一架飞机从城市上空飞过。,model-curated-pending-review,third-party-learner-content-v1
KV002267,new-high-risk,sense-note-parenthetical,Oxford,牛津（英国城市）,,Oxford is a famous city in England.,牛津是英格兰的一座著名城市。,model-curated-pending-review,third-party-learner-content-v1
KV002288,new-high-risk,duplicate-surface-multi-sense,part,部分；一部分,,This is my favorite part of the story.,这是故事中我最喜欢的部分。,model-curated-pending-review,third-party-learner-content-v1
KV002294,new-high-risk,duplicate-surface-multi-sense sense-note-parenthetical,past,过（用于钟点）,,It is ten past three.,现在是三点十分。,model-curated-pending-review,third-party-learner-content-v1
KV002295,new-high-risk,duplicate-surface-multi-sense,past,过去；从前,,People travelled more slowly in the past.,过去人们旅行得更慢。,model-curated-pending-review,third-party-learner-content-v1
KV002296,new-high-risk,duplicate-surface-multi-sense,past,经过；越过,,We walked past the old school.,我们走过了那所老学校。,model-curated-pending-review,third-party-learner-content-v1
KV002328,new-high-risk,duplicate-surface-multi-sense,pick,挑选；选择,,You can pick one book to take home.,你可以挑一本书带回家。,model-curated-pending-review,third-party-learner-content-v1
KV002330,new-high-risk,multi-meaning-label,picture,图片；图画；照片,,I drew a picture of my house.,我画了一张我家的图画。,model-curated-pending-review,third-party-learner-content-v1
KV002332,new-high-risk,multi-meaning-label,piece,块；片；件,,Would you like a piece of cake?,你想要一块蛋糕吗？,model-curated-pending-review,third-party-learner-content-v1
KV002359,new-high-risk,sense-note-parenthetical,pm,下午；午后（p.m.）,,The train leaves at 3 pm.,火车下午三点出发。,model-curated-pending-review,third-party-learner-content-v1
KV002367,new-high-risk,sense-note-parenthetical,policewomen,女警察（复数）,,Two policewomen were standing by the gate.,两名女警察站在大门旁。,model-curated-pending-review,third-party-learner-content-v1
KV002380,new-high-risk,multi-meaning-label,possibly,可能；也许；大概,,We could possibly go there tomorrow.,我们明天也许可以去那里。,model-curated-pending-review,third-party-learner-content-v1
KV002393,new-high-risk,acronym-or-allcaps,PRC,中华人民共和国,,PRC stands for the People's Republic of China.,PRC代表中华人民共和国。,model-curated-pending-review,third-party-learner-content-v1
KV002413,new-high-risk,acronym-or-allcaps sense-note-parenthetical,PS,附言；又及（P.S.）,,She added a PS at the end of the letter.,她在信末加了一段附言。,model-curated-pending-review,third-party-learner-content-v1
KV002417,new-high-risk,sense-note-parenthetical,Puma Ranch,Puma Ranch（地名/场景名）,,We stayed at Puma Ranch for the weekend.,我们周末住在Puma Ranch。,model-curated-pending-review,third-party-learner-content-v1
KV002424,new-high-risk,multi-meaning-label,puzzle,谜；难题；谜题,,Can you solve this puzzle?,你能解开这个谜题吗？,model-curated-pending-review,third-party-learner-content-v1
KV002429,new-high-risk,sense-note-parenthetical,quarter,四分之一；一刻钟（15分钟）,,A quarter of the cake is left.,蛋糕还剩四分之一。,model-curated-pending-review,third-party-learner-content-v1
KV002470,new-high-risk,sense-note-parenthetical,ring,（电话、铃等）响；铃声,,I heard the phone ring.,我听见电话响了。,model-curated-pending-review,third-party-learner-content-v1
KV002473,new-high-risk,multi-meaning-label,road,路；道路；公路,,This road leads to the village.,这条路通向村庄。,model-curated-pending-review,third-party-learner-content-v1
KV002515,new-high-risk,duplicate-surface-multi-sense,save,节省；节约,,Turn off the light to save electricity.,关灯可以节约用电。,model-curated-pending-review,third-party-learner-content-v1
KV002516,new-high-risk,duplicate-surface-multi-sense,save,救；挽救,,The lifeguard jumped in to save the child.,救生员跳进水里救那个孩子。,model-curated-pending-review,third-party-learner-content-v1
KV002555,new-high-risk,sense-note-parenthetical,shall,shall 情态动词（用于将来/提议等）,,Shall we go to the park?,我们去公园好吗？,model-curated-pending-review,third-party-learner-content-v1
KV002580,new-high-risk,multi-meaning-label,sign,标志；标牌；指示牌,,The sign says stop.,这个标志写着“停”。,model-curated-pending-review,third-party-learner-content-v1
KV002597,new-high-risk,duplicate-surface-multi-sense,size,大小；尺寸,,What size shoes do you wear?,你穿多大尺码的鞋？,model-curated-pending-review,third-party-learner-content-v1
KV002610,new-high-risk,duplicate-surface-multi-sense,slide,滑动；滑行,,The box began to slide across the floor.,箱子开始在地板上滑动。,model-curated-pending-review,third-party-learner-content-v1
KV002611,new-high-risk,duplicate-surface-multi-sense,slide,滑梯,,The children are playing on the slide.,孩子们正在玩滑梯。,model-curated-pending-review,third-party-learner-content-v1
KV002630,new-high-risk,long-example,snorkel,通气管；用通气管潜泳,,Use a snorkel to breathe while your face is in the water.,脸在水里时用通气管呼吸。,model-curated-pending-review,third-party-learner-content-v1
KV002632,new-high-risk,duplicate-surface-multi-sense sense-note-parenthetical,so,这么；那么（表示程度）,,Why are you so tired?,你为什么这么累？,model-curated-pending-review,third-party-learner-content-v1
KV002672,new-high-risk,multi-meaning-label,spread,涂；抹；铺开,,Spread some jam on the bread.,在面包上涂一些果酱。,model-curated-pending-review,third-party-learner-content-v1
KV002676,new-high-risk,sense-note-parenthetical,stair,（楼梯的）一级；梯级,,I missed the last stair and nearly fell.,我踩空了最后一级楼梯差点摔倒。,model-curated-pending-review,third-party-learner-content-v1
KV002687,new-high-risk,multi-meaning-label,stick,粘；贴；粘住,,Use glue to stick the picture on the card.,用胶水把图片粘在卡片上。,model-curated-pending-review,third-party-learner-content-v1
KV002705,new-high-risk,sense-note-parenthetical,strike,（钟）敲响；报时,,The clock will strike twelve at noon.,钟会在中午敲响十二下。,model-curated-pending-review,third-party-learner-content-v1
KV002731,new-high-risk,duplicate-surface-multi-sense,sure,确信的；确定的,,I am sure this is the right answer.,我确信这是正确答案。,model-curated-pending-review,third-party-learner-content-v1
KV002752,new-high-risk,duplicate-surface-multi-sense multi-meaning-label,take,拿；取；带走,,Please take this book to your teacher.,请把这本书拿给你的老师。,model-curated-pending-review,third-party-learner-content-v1
KV002770,new-high-risk,duplicate-surface-multi-sense,taste,尝；品尝,,Taste the soup and tell me what you think.,尝一尝汤然后告诉我你的感觉。,model-curated-pending-review,third-party-learner-content-v1
KV002779,new-high-risk,sense-note-parenthetical,teeth,牙齿（tooth 的复数）,,Brush your teeth twice a day.,每天刷两次牙。,model-curated-pending-review,third-party-learner-content-v1
KV002810,new-high-risk,multi-meaning-label,them,他们；她们；它们,,I gave them some apples.,我给了他们一些苹果。,model-curated-pending-review,third-party-learner-content-v1
KV002811,new-high-risk,multi-meaning-label,themselves,他们自己；她们自己；它们自己,,They made the cards themselves.,他们自己做了这些卡片。,model-curated-pending-review,third-party-learner-content-v1
KV002842,new-high-risk,sense-note-parenthetical,Tokyo,东京（日本首都）,,Tokyo has many busy train stations.,东京有许多繁忙的火车站。,model-curated-pending-review,third-party-learner-content-v1
KV002873,new-high-risk,multi-meaning-label,trick,把戏；花招；恶作剧,,The magician showed us a clever trick.,魔术师给我们表演了一个巧妙的把戏。,model-curated-pending-review,third-party-learner-content-v1
KV002880,new-high-risk,multi-meaning-label,try out,试用；试一试；试验,,You can try out the new bike.,你可以试一试这辆新自行车。,model-curated-pending-review,third-party-learner-content-v1
KV002884,new-high-risk,duplicate-surface-multi-sense,turn,转；转动,,Turn the key slowly.,慢慢转动钥匙。,model-curated-pending-review,third-party-learner-content-v1
KV002887,new-high-risk,sense-note-parenthetical,turn on,打开；开启（电器、灯等）,,Please turn on the light.,请打开灯。,model-curated-pending-review,third-party-learner-content-v1
KV002899,new-high-risk,acronym-or-allcaps,UFO,不明飞行物；UFO,,The children drew a UFO in the sky.,孩子们画了一个天空中的不明飞行物。,model-curated-pending-review,third-party-learner-content-v1
KV002901,new-high-risk,acronym-or-allcaps,UK,英国；联合王国,,London is the capital of the UK.,伦敦是英国的首都。,model-curated-pending-review,third-party-learner-content-v1
KV002909,new-high-risk,multi-meaning-label,upstairs,楼上；在楼上；上楼,,My bedroom is upstairs.,我的卧室在楼上。,model-curated-pending-review,third-party-learner-content-v1
KV002910,new-high-risk,acronym-or-allcaps,US,我们,,The teacher asked us to sit down.,老师让我们坐下。,model-curated-pending-review,third-party-learner-content-v1
KV002911,new-high-risk,acronym-or-allcaps,USA,美国；美利坚合众国,,The USA is in North America.,美国在北美洲。,model-curated-pending-review,third-party-learner-content-v1
KV002938,new-high-risk,sense-note-parenthetical,watches,手表（watch 的复数）,,Those watches are in the shop window.,那些手表在商店橱窗里。,model-curated-pending-review,third-party-learner-content-v1
KV002941,new-high-risk,duplicate-surface-multi-sense multi-meaning-label,way,路；道路；方向,,Which way should we go?,我们应该往哪个方向走？,model-curated-pending-review,third-party-learner-content-v1
KV002965,new-high-risk,sense-note-parenthetical,wild geese,大雁；雁（wild goose 的复数）,,Wild geese fly south in autumn.,大雁秋天向南飞。,model-curated-pending-review,third-party-learner-content-v1
KV002966,new-high-risk,sense-note-parenthetical,will,将；会（表示将来）,,I will call you tonight.,我今晚会给你打电话。,model-curated-pending-review,third-party-learner-content-v1
KV002978,new-high-risk,sense-note-parenthetical,wolfie,Wolfie（狼的名字）,,Wolfie is the friendly wolf in the story.,Wolfie是故事里那只友善的狼。,model-curated-pending-review,third-party-learner-content-v1
KV002979,new-high-risk,sense-note-parenthetical,women,女人们；妇女们（woman 的复数）,,Three women are waiting for the bus.,三位女士正在等公交车。,model-curated-pending-review,third-party-learner-content-v1
KV003004,new-high-risk,sense-note-parenthetical,yuan,元（人民币货币单位）,,This notebook costs five yuan.,这个笔记本五元钱。,model-curated-pending-review,third-party-learner-content-v1
KV003007,new-high-risk,multi-meaning-label,yum,真好吃；好吃；美味,,Yum! This soup is delicious.,真好吃！这个汤很美味。,model-curated-pending-review,third-party-learner-content-v1
