ProvisionalIdentityKey,CanonicalMatchKey,LookupMatchKey,DisplayWord,ThirdPartyTargetSense,SourceMatchKeys,SourceOccurrenceCount,LearnerAdmitted,KloseCandidateClass,KloseCandidateCount,KloseCandidateNoteIDs,KloseCandidateSenses,PremergeStatus,MergeAuthorized
candidate:canada,canada,canada,Canada,加拿大,canada,12,yes,exact-single,1,KV000507,加拿大,pending-sense-confirmation,no
candidate:canadian,canadian,canadian,Canadian,加拿大的；加拿大人,canadian,1,yes,exact-single,1,KV001044,加拿大的,pending-sense-confirmation,no
candidate:canberra,canberra,canberra,Canberra,堪培拉,canberra,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:candle,candle,candle,candle,蜡烛,candle,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:candy,candy,candy,candy,糖果,candies|candy,15,yes,exact-single,1,KV000580,糖果,pending-sense-confirmation,no
candidate:candy bar,candy bar,candy bar,candy bar,糖果棒；条状糖果,candy bar,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:canteen,canteen,canteen,canteen,食堂,canteen,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cap,cap,cap,cap,帽子；便帽,cap,21,yes,exact-single,1,KV000254,帽子；便帽,pending-sense-confirmation,no
candidate:capital,capital,capital,capital,首都,capital,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:captain,captain,captain,captain,队长,captain,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:car,car,car,car,汽车；小汽车,car,22,yes,exact-single,1,KV000072,小汽车；汽车,pending-sense-confirmation,no
candidate:car museum,car museum,car museum,car museum,汽车博物馆,car museum,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:card,card,card,card,卡片；卡,card,16,yes,exact-single,1,KV000144,卡片；贺卡,pending-sense-confirmation,no
candidate:cardboard,cardboard,cardboard,cardboard,硬纸板；卡纸,cardboard,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cardigan,cardigan,cardigan,cardigan,开襟毛衣；羊毛衫,cardigan,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:care,care,care,care,关心；照顾,care,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:careful,careful,careful,careful,小心的；仔细的,careful,11,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:carefully,carefully,carefully,carefully,小心地；仔细地,carefully,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:careless,careless,careless,careless,粗心的；不小心的,careless,2,yes,exact-single,1,KV000520,粗心的,pending-sense-confirmation,no
candidate:carnation,carnation,carnation,carnation,康乃馨,carnation,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:carrot,carrot,carrot,carrot,胡萝卜,carrot|carrots,8,yes,exact-single,1,KV000883,胡萝卜,pending-sense-confirmation,no
candidate:carry,carry,carry,carry,拿；携带；搬运,carried|carry,13,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cartoon,cartoon,cartoon,cartoon,卡通；动画片,cartoon|cartoons,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cashier,cashier,cashier,cashier,收银员,cashier,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cassette,cassette,cassette,cassette,盒式磁带；磁带盒,cassette,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:castle,castle,castle,castle,城堡,castle,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cat,cat,cat,cat,猫,cat,22,yes,exact-single,1,KV000022,猫,pending-sense-confirmation,no
candidate:cat food,cat food,cat food,cat food,猫粮,cat food,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:catch,catch,catch,catch,接住；抓住,catch,14,yes,exact-single,1,KV000496,抓住；捕捉,pending-sense-confirmation,no
candidate:caterpillar,caterpillar,caterpillar,caterpillar,毛毛虫,caterpillar,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cave,cave,cave,cave,洞穴,cave,2,yes,exact-single,1,KV000988,山洞；洞穴,pending-sense-confirmation,no
candidate:cd,cd,cd,CD,光盘；激光唱片,cd,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cd player,cd player,cd player,CD player,CD 播放器,cd player,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cd-rom,cd-rom,cd-rom,CD-ROM,只读光盘（CD-ROM）,cd-rom,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:celebrate,celebrate,celebrate,celebrate,庆祝,celebrate,4,yes,exact-single,1,KV000612,庆祝,pending-sense-confirmation,no
candidate:celebration,celebration,celebration,celebration,庆祝；庆祝活动,celebration,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:celery,celery,celery,celery,芹菜,celery,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cent,cent,cent,cent,分（货币单位）,cent,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:centimetre,centimetre,centimetre,centimetre,厘米；公分,centimeter|centimetre|cm,8,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:central,central,central,central,中心的；中央的,central,2,yes,exact-single,1,KV000473,中心的；中央的,pending-sense-confirmation,no
candidate:centre,centre,centre,centre,中心；中央,center|centre,7,yes,exact-single,1,KV000916,中心,pending-sense-confirmation,no
candidate:certainly,certainly,certainly,certainly,当然；肯定地,certainly,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chain,chain,chain,chain,链条；链子,chain,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chair,chair,chair,chair,椅子,chair,23,yes,exact-single,1,KV000054,椅子,pending-sense-confirmation,no
candidate:chameleon,chameleon,chameleon,chameleon,变色龙,chameleon,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:champion,champion,champion,champion,冠军,champion,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chance,chance,chance,chance,机会,chance,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:change,change,change,change,改变；变化,change,8,yes,exact-single,1,KV001146,（使）不同；改变,pending-sense-confirmation,no
candidate:chant,chant,chant,chant,吟唱；反复地唱,chant,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chase,chase,chase,chase,追逐；追赶,chase,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chat,chat,chat,chat,聊天；闲聊,chat,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cheap,cheap,cheap,cheap,便宜的,cheap,7,yes,exact-single,1,KV000873,便宜的,pending-sense-confirmation,no
candidate:cheaper,cheaper,cheaper,cheaper,更便宜的；价格更低的,cheaper,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:check,check,check,check,检查；核对,check|checked,7,yes,exact-single,1,KV000941,查看；查明,pending-sense-confirmation,no
candidate:check-up,check-up,check-up,check-up,检查；体检,check-up,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:checklist,checklist,checklist,checklist,清单；检查表,checklist,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cheer,cheer,cheer,cheer,欢呼；加油,cheer,2,yes,exact-single,1,KV001072,欢呼；加油,pending-sense-confirmation,no
candidate:cheer for,cheer for,cheer for,cheer for,为……加油；为……喝彩,cheer for,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cheese,cheese,cheese,cheese,奶酪；干酪,cheese,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cheetah,cheetah,cheetah,cheetah,猎豹,cheetah,1,yes,exact-single,1,KV001192,猎豹,pending-sense-confirmation,no
candidate:chemistry,chemistry,chemistry,chemistry,化学,chemistry,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cherry,cherry,cherry,cherry,樱桃,cherry,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chess,chess,chess,chess,国际象棋；棋,chess,6,yes,exact-single,1,KV000910,国际象棋,pending-sense-confirmation,no
candidate:chewing gum,chewing gum,chewing gum,chewing gum,口香糖,chewing gum,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chick,chick,chick,chick,小鸡；雏鸡,chick,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:child,child,child,child,孩子；儿童,child,13,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:childish,childish,childish,childish,孩子气的；幼稚的,childish,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:children,children,children,children,孩子们；儿童（child 的复数）,children,16,yes,exact-single,1,KV000333,孩子们,pending-sense-confirmation,no
candidate:children's day,children's day,children's day,Children's Day,儿童节,children's day,8,yes,exact-single,1,KV000597,儿童节,pending-sense-confirmation,no
candidate:children's palace,children's palace,children's palace,Children's Palace,少年宫,children's palace,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:children's park,children's park,children's park,Children's Park,儿童公园,children's park,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chilli,chilli,chilli,chilli,辣椒,chilli,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chimney,chimney,chimney,chimney,烟囱,chimney,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chin,chin,chin,chin,下巴,chin,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:china,china,china,China,中国,china,19,yes,exact-single,1,KV000511,中国,pending-sense-confirmation,no
candidate:chinatown,chinatown,chinatown,Chinatown,唐人街；中国城,chinatown,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chinese book,chinese book,chinese book,Chinese book,语文书；中文书,chinese book,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chinese chess,chinese chess,chinese chess,Chinese chess,中国象棋；象棋,chinese chess,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chinese ink painting,chinese ink painting,chinese ink painting,Chinese ink painting,中国水墨画,chinese ink painting,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chinese leaves,chinese leaves,chinese leaves,Chinese leaves,大白菜,chinese leaves,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chinese new year,chinese new year,chinese new year,Chinese New Year,中国新年；春节,chinese new year,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chinese new year's day,chinese new year's day,chinese new year's day,Chinese New Year's Day,中国新年第一天；大年初一,chinese new year's day,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chinese new year's eve,chinese new year's eve,chinese new year's eve,Chinese New Year's Eve,除夕夜,chinese new year's eve,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chips,chips,chips,chips,[食品] 炸土豆条,chips,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chocolate,chocolate,chocolate,chocolate,巧克力,chocolate,11,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:choir,choir,choir,choir,合唱团；合唱队,choir,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chongyang festival,chongyang festival,chongyang festival,Chongyang Festival,重阳节,chongyang festival,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:choose,choose,choose,choose,选择,choose|chose,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chopstick,chopstick,chopstick,chopstick,筷子,chopstick,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:chopsticks,chopsticks,chopsticks,chopsticks,筷子,chopsticks,7,yes,exact-single,1,KV000672,筷子,pending-sense-confirmation,no
candidate:chore,chore,chore,chore,家务；杂务,chore,2,yes,exact-single,1,KV000571,家务；杂务,pending-sense-confirmation,no
candidate:chorus,chorus,chorus,chorus,合唱；齐声,chorus,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:christmas,christmas,christmas,Christmas,圣诞节,christmas,17,yes,exact-single,1,KV000141,圣诞节,pending-sense-confirmation,no
candidate:christmas day,christmas day,christmas day,Christmas Day,圣诞节；圣诞日,christmas day,2,yes,exact-single,1,KV000601,圣诞节,pending-sense-confirmation,no
candidate:christmas eve,christmas eve,christmas eve,Christmas Eve,圣诞前夜,christmas eve,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:christmas tree,christmas tree,christmas tree,Christmas tree,圣诞树,christmas tree,2,yes,exact-single,1,KV000143,圣诞树,pending-sense-confirmation,no
candidate:chug,chug,chug,chug,轧轧声；发出轧轧声,chug,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:church,church,church,church,教堂,church,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cinema,cinema,cinema,cinema,电影院,cinema,18,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:circle,circle,circle,circle,圆；圆形,circle,9,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:circus,circus,circus,circus,马戏团；马戏表演,circus,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:city,city,city,city,城市,city,16,yes,exact-single,1,KV000459,城市,pending-sense-confirmation,no
candidate:clap,clap,clap,clap,拍手；鼓掌,clap,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:clapping game,clapping game,clapping game,clapping game,拍手游戏,clapping game,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:class,class,class,class,班级；课；课堂,class,26,yes,exact-single,1,KV000211,班；班级,pending-sense-confirmation,no
candidate:classmate,classmate,classmate,classmate,同班同学,classmate,12,yes,exact-single,1,KV000108,同班同学,pending-sense-confirmation,no
candidate:classroom,classroom,classroom,classroom,教室,classroom,21,yes,exact-single,1,KV000292,教室,pending-sense-confirmation,no
candidate:clay,clay,clay,clay,黏土；陶土,clay,2,yes,exact-single,1,KV001050,黏土；陶土,pending-sense-confirmation,no
candidate:clean,clean,clean,clean,干净的；清洁；打扫,clean,27,yes,exact-single,1,KV000806,打扫；干净的,pending-sense-confirmation,no
candidate:clean my room,clean my room,clean my room,clean my room,打扫我的房间,clean my room,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:clean the room,clean the room,clean the room,clean the room,打扫房间,clean the room,1,yes,exact-single,1,KV000572,打扫房间,pending-sense-confirmation,no
candidate:cleaner,cleaner,cleaner,cleaner,清洁工,cleaner,2,yes,exact-single,1,KV000824,清洁工,pending-sense-confirmation,no
candidate:clear,clear,clear,clear,清楚的；清晰的,clear,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:clerk,clerk,clerk,clerk,职员；办事员,clerk,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:clever,clever,clever,clever,聪明的；机灵的,clever,16,yes,exact-single,1,KV000519,聪明的,pending-sense-confirmation,no
candidate:climb,climb,climb,climb,爬；攀登,climb|climbing,13,yes,exact-single,1,KV001046,攀登；爬,pending-sense-confirmation,no
candidate:climb a hill,climb a hill,climb a hill,climb a hill,爬山；爬小山,climb a hill,1,yes,exact-single,1,KV000356,爬山；爬小山,pending-sense-confirmation,no
candidate:climb trees,climb trees,climb trees,climb trees,爬树,climb trees,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:clock,clock,clock,clock,钟；时钟,clock,18,yes,exact-single,1,KV000704,时钟；钟,pending-sense-confirmation,no
candidate:close,close,close,close,关闭；关上,close,20,yes,exact-single,1,KV000965,关；关闭；闭上,pending-sense-confirmation,no
candidate:cloth,cloth,cloth,cloth,布；布料,cloth,1,yes,exact-single,1,KV001130,（一块）布；织物,pending-sense-confirmation,no
candidate:clothes,clothes,clothes,clothes,衣服；服装,clothes,17,yes,exact-single,1,KV000869,衣服；服装,pending-sense-confirmation,no
candidate:cloud,cloud,cloud,cloud,云,cloud,13,yes,exact-single,1,KV001114,云,pending-sense-confirmation,no
candidate:cloudy,cloudy,cloudy,cloudy,多云的；阴天的,cloudy,21,yes,exact-single,1,KV000161,多云的,pending-sense-confirmation,no
candidate:clown,clown,clown,clown,小丑,clown,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:club,club,club,club,俱乐部；社团,club,9,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:coach,coach,coach,coach,教练,coach,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:coal,coal,coal,coal,煤；煤炭,coal,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:coat,coat,coat,coat,外套；大衣,coat,22,yes,exact-single,1,KV000255,外套,pending-sense-confirmation,no
candidate:coconut,coconut,coconut,coconut,椰子,coconut,1,yes,exact-single,1,KV000949,椰子,pending-sense-confirmation,no
candidate:cocoon,cocoon,cocoon,cocoon,茧,cocoon,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:coffee,coffee,coffee,coffee,咖啡,coffee,8,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:coin,coin,coin,coin,硬币,coin,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:coke,coke,coke,coke,可口可乐,coke,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cola,cola,cola,cola,可乐,cola,11,yes,exact-single,1,KV000241,可乐,pending-sense-confirmation,no
candidate:collar,collar,collar,collar,衣领,collar,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:collect,collect,collect,collect,收集；收集起来,collect,9,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:college,college,college,college,大学；学院,college,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:colorful,colorful,colorful,colorful,色彩鲜艳的；丰富多彩的,colorful,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:colour,colour,colour,colour,颜色；给……涂色,color|colour,23,yes,exact-single,1,KV000044,颜色,pending-sense-confirmation,no
candidate:coloured,coloured,coloured,coloured,彩色的；有颜色的,coloured,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:colourful,colourful,colourful,colourful,多彩的；色彩丰富的,colourful,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:comb,comb,comb,comb,梳子；梳头,comb,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:come,come,come,come,来,came|come,25,yes,exact-single,1,KV000394,来,pending-sense-confirmation,no
candidate:come back,come back,come back,come back,回来；返回,come back,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:come out,come out,come out,come out,出来；出去,come out,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:come out of,come out of,come out of,come out of,从……出来；出自,come out of,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:comfortable,comfortable,comfortable,comfortable,舒适的；舒服的,comfortable,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:comic,comic,comic,comic,漫画；连环漫画,comic,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:comic book,comic book,comic book,comic book,漫画书,comic book,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:company,company,company,company,公司,company,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:competition,competition,competition,competition,比赛；竞赛,competition,4,yes,exact-single,1,KV000739,比赛；竞赛,pending-sense-confirmation,no
candidate:competitor,competitor,competitor,competitor,参赛者；竞争者,competitor,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:computer,computer,computer,computer,电脑；计算机,computer,17,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:computer class,computer class,computer class,computer class,计算机课；电脑课,computer class,1,yes,exact-single,1,KV000289,计算机课,pending-sense-confirmation,no
candidate:computer game,computer game,computer game,computer game,电脑游戏,computer game,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:computer lab,computer lab,computer lab,computer lab,电脑教室；机房,computer lab,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:computer room,computer room,computer room,computer room,计算机教室；电脑室,computer room,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:computer studies,computer studies,computer studies,computer studies,计算机课程,computer studies,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:concert,concert,concert,concert,音乐会,concert,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:conductor,conductor,conductor,conductor,售票员,conductor,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:confident,confident,confident,confident,自信的；有信心的,confident,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:contest,contest,contest,contest,比赛；竞赛,contest,2,yes,exact-single,1,KV000999,比赛；竞赛,pending-sense-confirmation,no
candidate:cookbook,cookbook,cookbook,cookbook,食谱；烹饪书,cookbook,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cooked,cooked,cooked,cooked,做饭；烹饪,cooked,1,no,no-existing-match,0,,,pending-new-identity-review,no
candidate:cookie,cookie,cookie,cookie,饼干,cookie|cookies,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cool,cool,cool,cool,凉爽的；凉的,cool,30,yes,exact-multiple,2,KV000175|KV001142,凉爽的|（使）变凉；冷却,pending-multi-candidate-review,no
candidate:corn,corn,corn,corn,玉米,corn,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:corn-on-the-cob,corn-on-the-cob,corn-on-the-cob,corn-on-the-cob,玉米棒；玉米棒子,corn-on-the-cob,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:corner,corner,corner,corner,拐角；街角,corner,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:corner kick,corner kick,corner kick,corner kick,角球,corner kick,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cornflakes,cornflakes,cornflakes,cornflakes,玉米片,cornflakes,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:correct,correct,correct,correct,正确的；对的,correct,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cost,cost,cost,cost,费用；花费,cost,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cotton,cotton,cotton,cotton,棉；棉花,cotton,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cough,cough,cough,cough,咳嗽；咳嗽声,cough|coughed,10,yes,exact-single,1,KV001088,咳嗽,pending-sense-confirmation,no
candidate:could,could,could,could,能；可以（can 的过去式或较委婉形式）,could,6,no,no-existing-match,0,,,pending-new-identity-review,no
candidate:count,count,count,count,数；计数,count,8,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:count to ten,count to ten,count to ten,count to ten,数到十,count to ten,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:country,country,country,country,国家,country,17,yes,exact-single,1,KV000518,国家,pending-sense-confirmation,no
candidate:countryside,countryside,countryside,countryside,乡下；农村,countryside,7,yes,exact-single,1,KV000791,乡村；农村,pending-sense-confirmation,no
candidate:cousin,cousin,cousin,cousin,堂兄弟姐妹；表兄弟姐妹,cousin,17,yes,exact-single,1,KV000315,堂兄弟姐妹；表兄弟姐妹,pending-sense-confirmation,no
candidate:cover,cover,cover,cover,覆盖；遮盖,cover,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cow,cow,cow,cow,奶牛；母牛,cow,19,yes,exact-single,1,KV000546,奶牛；母牛,pending-sense-confirmation,no
candidate:cowboy,cowboy,cowboy,cowboy,牛仔,cowboy,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cowboy hat,cowboy hat,cowboy hat,cowboy hat,牛仔帽,cowboy hat,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:craft,craft,craft,craft,工艺；手艺,craft,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:craftsman,craftsman,craftsman,craftsman,工匠；手艺人,craftsman,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crash,crash,crash,crash,碰撞；撞车,crash,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crayon,crayon,crayon,crayon,蜡笔,crayon,18,yes,exact-single,1,KV000399,蜡笔,pending-sense-confirmation,no
candidate:crazy,crazy,crazy,crazy,疯狂的；着迷的,crazy,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crisp,crisp,crisp,crisp,薯片；炸薯片,crisp,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:croak,croak,croak,croak,呱呱叫；呱呱叫声,croak,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crocodile,crocodile,crocodile,crocodile,鳄鱼,crocodile,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crop,crop,crop,crop,农作物；庄稼,crop,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cross,cross,cross,cross,穿过；横过,cross,13,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crossing,crossing,crossing,crossing,十字路口；交叉路口,crossing,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crossroads,crossroads,crossroads,crossroads,十字路口,crossroads,1,yes,exact-single,1,KV000450,十字路口,pending-sense-confirmation,no
candidate:crowd,crowd,crowd,crowd,人群,crowd,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crowded,crowded,crowded,crowded,拥挤的,crowded,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crown,crown,crown,crown,王冠,crown,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:crutch,crutch,crutch,crutch,拐杖,crutch,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cry,cry,cry,cry,哭；哭泣,cry,15,yes,exact-single,1,KV000736,哭；哭泣,pending-sense-confirmation,no
candidate:cucumber,cucumber,cucumber,cucumber,黄瓜,cucumber,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:culture,culture,culture,culture,文化,culture,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cup,cup,cup,cup,杯子,cup,11,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cupboard,cupboard,cupboard,cupboard,碗柜；食橱,cupboard,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:curly,curly,curly,curly,卷曲的；卷发的,curly,1,yes,exact-single,1,KV000536,卷曲的,pending-sense-confirmation,no
candidate:curtain,curtain,curtain,curtain,窗帘,curtain,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cushion,cushion,cushion,cushion,垫子；靠垫,cushion,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cut#injury,cut#injury,cut,cut,伤口；割伤,cut,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cut#verb,cut#verb,cut,cut,切；割,cut,8,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cute,cute,cute,cute,可爱的,cute,13,yes,exact-single,1,KV000517,可爱的,pending-sense-confirmation,no
candidate:cycle,cycle,cycle,cycle,骑自行车,cycle,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cycle helmet,cycle helmet,cycle helmet,cycle helmet,骑行头盔,cycle helmet,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cycling,cycling,cycling,cycling,骑自行车；骑行运动,cycling,1,yes,exact-single,1,KV001186,骑自行车运动（或活动）,pending-sense-confirmation,no
candidate:cycling shoes,cycling shoes,cycling shoes,cycling shoes,骑行鞋；自行车运动鞋,cycling shoes,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:cyclist,cyclist,cyclist,cyclist,骑自行车的人,cyclist,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:dad,dad,dad,dad,爸爸,dad,16,yes,exact-single,1,KV000409,爸爸,pending-sense-confirmation,no
candidate:daddy,daddy,daddy,daddy,爸爸,daddy,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:daily,daily,daily,daily,每日的；日常的,daily,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:dance,dance,dance,dance,跳舞；舞蹈,dance|danced,24,yes,exact-single,1,KV000253,跳舞,pending-sense-confirmation,no
candidate:dancer,dancer,dancer,dancer,舞者；舞蹈演员,dancer,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:dancing,dancing,dancing,dancing,跳舞；舞蹈,dancing,3,yes,exact-single,1,KV000489,跳舞,pending-sense-confirmation,no
