MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,TokenCount,RiskSignals,CandidateType,CandidateRoute,RelatedMatchKeys,ReviewStatus,Rationale,KloseMergeAuthorized
free,free,"adj. 免费的;自由的,不受约束的;[化学] 游离的 vt. 使自由,解放;释放 adv. 自由地;免费",4年级下,1,4年级下@r71: [go camping / do the housework / <free> / never / once a week],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
french,French,n. 法国人;法语 adj. 法国的;法语的;法国人的,6年级上,2,6年级上@r35: [clock / speak / <French> / Tower Bridge / the London Eye] || 6年级上@r81: [writer / American / <French> / Danish / poem],1,multiple-occurrences|multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
french fries,French fries,n. 【食】炸薯条,5年级下,1,5年级下@r84: [sad / left / <French fries> / were / was born],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
frog,frog,n. 青蛙;[铁路] 辙叉;饰扣 vi. 捕蛙,6年级下,1,6年级下@r37: [swan / wild goose / <frog> / English-Chinese dictionary / shopping centre],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
get to,get to,na. 接触到;开始;〈美口〉收买,4年级下,1,4年级下@r17: [get / money / <get to> / before / leave],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
get up,get up,na. 起床;起身;站起来;叫...起床,2年级下|4年级上,2,2年级下@r39: [time / playtime / <get up> / eat breakfast / go to school] || 4年级上@r15: [friend / father / <get up> / visit one's grandparents / go to a drawing club],2,multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
glue stick,glue stick,n. 胶棒,4年级上,1,4年级上@r67: [crayon / scissors / <glue stick> / paper / use],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go boating,go boating,na. 乘船〔尤指划船〕游玩,4年级下,1,4年级下@r33: [buy toys / see a film / <go boating> / busy / station],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go camping,go camping,去野营;去露营;宿营,4年级下,1,4年级下@r69: [play the violin / go skating / <go camping> / do the housework / free],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go fishing,go fishing,去钓鱼;垂钓;我以前常去钓鱼,4年级上,1,4年级上@r21: [pick fruit / play computer games / <go fishing> / go to the cinema / on the weekend],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go for a picnic,go for a picnic,去野餐;去野炊;出去野炊,4年级下,1,4年级下@r66: [stamp / catch / <go for a picnic> / play the violin / go skating],4,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go home,go home,na. 回家;〈口〉死;(忠告等)刻骨铭心;击中,2年级下,1,2年级下@r43: [go to school / eat lunch / <go home> / eat dinner / go to bed],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go skating,go skating,去滑冰;去溜冰;滑雪,4年级下,1,4年级下@r68: [go for a picnic / play the violin / <go skating> / go camping / do the housework],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go straight,go straight,na. 笔直走,4年级下,1,4年级下@r11: [turn left / turn right / <go straight> / crossroads / neighbourhood],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go to a drawing club,go to a drawing club,无,4年级上,1,4年级上@r17: [get up / visit one's grandparents / <go to a drawing club> / climb a hill / pick fruit],5,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go to bed,go to bed,na. 睡;同床;【印】付印,2年级下|5年级下,2,2年级下@r45: [go home / eat dinner / <go to bed> / when / every day] || 5年级下@r4: [too much / candy / <go to bed> / early / exercise],3,multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go to school,go to school,na. 到校上课;上学去;开始求学,2年级下,1,2年级下@r41: [get up / eat breakfast / <go to school> / eat lunch / go home],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
go to the cinema,go to the cinema,去看电影;去电影院;上电影院,4年级上,1,4年级上@r22: [play computer games / go fishing / <go to the cinema> / on the weekend / fun],4,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
grade,grade,n. 年级;等级;成绩;级别;阶段 vt. 评分;把...分等级 vi. 分等级;逐渐变化,3年级上,1,3年级上@r10: [how old / class / <grade> / age / dear],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
guess,guess,n. 猜测;推测 vi. 猜;推测;猜中 vt. 猜测;认为;推测;猜中 n. 盖尔斯(美国服装品牌),5年级上,1,5年级上@r26: [young / teach / <guess> / has / animal],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
habit,habit,"n. 习惯,习性;嗜好 vt. 使穿衣",6年级下,1,6年级下@r20: [sandwich / top / <habit> / idea / less],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
handsome,handsome,"adj. (男子)英俊的;可观的;大方的,慷慨的;健美而端庄的",2年级上|3年级下,2,2年级上@r27: [thin / short / <handsome> / new / does] || 3年级下@r47: [aunt / cousin / <handsome> / beautiful / lost],1,multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
happy,happy,adj. 幸福的;高兴的;巧妙的,2年级上|6年级上,2,2年级上@r55: [for / thank / <happy>] || 6年级上@r65: [sad / excited / <happy> / ill / win],1,multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
have a picnic,have a picnic,举行野餐;去野餐;吃野餐,5年级下,1,5年级下@r41: [make a poster / celebrate / <have a picnic> / office / together],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
help,help,n. 帮助;补救办法;帮忙者;有益的东西 vt. 帮助;促进;治疗;补救 vi. 帮助;有用;招待,3年级上,1,3年级上@r23: [the matter / hurt / <help> / bad / bite],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
here,here,n. 这里 adv. 在这里;此时 int. 嘿!;喂!,2年级上,1,2年级上@r52: [merry / too / <here> / for / thank],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
hope,hope,n. 希望;期望;信心 vi. 希望;期待;信赖 vt. 希望;期望,4年级上,1,4年级上@r33: [house / poor / <hope> / so / Saturday],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
hot pot,hot pot,na. 〈英〉马铃薯炖牛[羊]肉,6年级下,1,6年级下@r42: [shopping mall / amazing / <hot pot>],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
ice lantern,ice lantern,无,6年级上,1,6年级上@r95: [dumpling / fan / <ice lantern> / bring / be afraid of],2,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
in one hour,in one hour,无,3年级下,1,3年级下@r69: [feeding the fish / play with / <in one hour> / everyone / children],3,missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
in the future,in the future,adv. 今后,4年级上,1,4年级上@r103: [farmer / worker / <in the future> / great / job],3,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
information centre,Information Centre,信息中心;资讯中心;情报中心,4年级上,1,4年级上@r72: [please / find / <Information Centre> / Excuse me / phone],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
jumped rope,jumped rope,跳绳游戏;跨越横线,5年级下,1,5年级下@r60: [visited grandparents / danced / <jumped rope> / listened to music / rowed a boat],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
jumping rope,jumping rope,跳绳;正在跳绳;跳跳绳,4年级上,1,4年级上@r5: [basketball / roller skating / <jumping rope> / ping-pong / What about ...?],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
just,just,"adv. 只是,仅仅;刚才,刚刚;正好,恰好;实在;刚要 adj. 公正的,合理的;正直的,正义的;正确的;公平的;应得的",4年级上,1,4年级上@r109: [people / teach / <just> / myself / sound],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
kick,kick,"vt. 踢;反冲,朝后座 n. 踢;反冲,后座力 vi. 踢;反冲",3年级上,1,3年级上@r27: [bite / tongue / <kick> / morning / afternoon],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
knife,knife,n. 刀;匕首 vt. 用刀切;(口)伤害 vi. 劈开;划过,4年级上,1,4年级上@r63: [apple / pen / <knife> / eraser / crayon],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
lake ontario,Lake Ontario,n. 安大略湖,6年级下,1,6年级下@r15: [public library / downtown / <Lake Ontario> / stadium / volunteer],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
learned to ride a bike,learned to ride a bike,无,5年级下,1,5年级下@r89: [started to speak / learned to walk / <learned to ride a bike> / went to kindergarten / went to school],5,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
learned to swim,learned to swim,无,5年级下,1,5年级下@r92: [went to kindergarten / went to school / <learned to swim> / fifteenth / 15th],3,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
learned to walk,learned to walk,无,5年级下,1,5年级下@r88: [was born / started to speak / <learned to walk> / learned to ride a bike / went to kindergarten],3,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
leave,leave,"vt. 离开;留下;遗忘;委托 vi. 离开,出发;留下 n. 许可,同意;休假",4年级下,1,4年级下@r19: [get to / before / <leave> / toy / hospital],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
less,less,adv. 较少地;较小地;更小地 adj. 较少的;较小的 prep. 减去 n. 较少;较小,6年级下,1,6年级下@r22: [habit / idea / <less> / at least / talk about],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
let's,let's,让我们(let us的简写),2年级下,1,2年级下@r17: [weather / wow / <let's> / spring / summer],1,contracted-form,single-token-form-review,identity-form-review,,pending,Single-token contraction/form needs identity-policy review before treating it as a new Vocabulary identity.,no
listened to music,listened to music,无,5年级下,1,5年级下@r61: [danced / jumped rope / <listened to music> / rowed a boat / played computer games],3,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
listening to music,listening to music,无,3年级下,1,3年级下@r65: [watering the plants / cleaning the room / <listening to music> / watching TV / feeding the fish],3,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
living room,living room,n. 客厅;起居室,3年级下,1,3年级下@r75: [home / bedroom / <living room> / bathroom / dining room],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
look forward to,look forward to,na. 盼望,3年级上|6年级上,2,3年级上@r83: [week / soon / <look forward to> / T-shirt / shorts] || 6年级上@r103: [pity / prize / <look forward to>],3,multiple-occurrences|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
mail a present,mail a present,无,5年级下,1,5年级下@r49: [make a phone call / send a short message / <mail a present> / make a video call / say],3,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
make a card,make a card,na. (牌戏)打成一墩,5年级下,1,5年级下@r52: [make a video call / say / <make a card> / everywhere / flower show],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
make a model plane,make a model plane,无,2年级下|3年级下,2,2年级下@r5: [fly a kite / ride a bike / <make a model plane> / swim / make a snowman] || 3年级下@r41: [ride a bike / swim / <make a model plane> / make a snowman / family],4,multiple-occurrences|missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
make a phone call,make a phone call,打电话;打个电话;打电话号码,5年级下,1,5年级下@r47: [send an email / write a letter / <make a phone call> / send a short message / mail a present],4,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
make a poster,make a poster,制作海报;做海报;作一个海报,5年级下,1,5年级下@r39: [25th / plant / <make a poster> / celebrate / have a picnic],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
make a snowman,make a snowman,堆雪人;做雪人;堆一个雪人,2年级下|3年级下,2,2年级下@r7: [make a model plane / swim / <make a snowman> / can't / rainy] || 3年级下@r42: [swim / make a model plane / <make a snowman> / family / uncle],3,multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
make a video call,make a video call,无,5年级下,1,5年级下@r50: [send a short message / mail a present / <make a video call> / say / make a card],4,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
make the bed,make the bed,铺床;整理床铺;整理被物,5年级上,1,5年级上@r62: [chore / clean the room / <make the bed> / take out the rubbish / wash clothes],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
making models,making models,无,4年级下,1,4年级下@r60: [dancing / doing jigsaw puzzles / <making models> / collecting erasers / different],2,missing-or-empty-gloss|multiword-surface|gerund-chunk,expression-or-chunk-review,expression-routing-review,,pending,Gerund-led multiword chunk requires Vocabulary-vs-Expression routing.,no
maple leaves,maple leaves,枫叶;枫树叶子;枫树留下,4年级下,1,4年级下@r82: [China / koala / <maple leaves> / Big Ben / Disneyland],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
mark,mark,n. 标志;马克;符号;痕迹;分数 vi. 作记号 vt. .标志;做标记于;打分数 n. . 标志;做标记于;打分数,5年级下,1,5年级下@r18: [sleepy / subject / <mark> / advice / more],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
meeting place,meeting place,n. 会场;聚集的地方,4年级上,1,4年级上@r51: [by train / garden / <meeting place> / gate / transportation],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
merry,merry,adj. 愉快的;微醉的;嬉戏作乐的 n. 甜樱桃,2年级上,1,2年级上@r50: [present / New Year / <merry> / too / here],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
more,more,adv. 更多;此外;更大程度地 adj. 更多的;附加的 pron. 更多的数量 n. 更多,5年级下,1,5年级下@r20: [mark / advice / <more> / New Year's Day / Tree Planting Day],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
morning tea,morning tea,n. 早茶,6年级上,1,6年级上@r2: [<morning tea> / soup / garden],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
mother's day,Mother's Day,na. (美国和加拿大的)母亲节,5年级下,1,5年级下@r23: [New Year's Day / Tree Planting Day / <Mother's Day> / Children's Day / Father's Day],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
national day,National Day,na. 国庆日,5年级下,1,5年级下@r27: [Father's Day / Teachers' Day / <National Day> / Christmas Day / birthday],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
nature shows,nature shows,无,5年级上,1,5年级上@r59: [cartoons / news shows / <nature shows> / chore / clean the room],2,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
new year,New Year,n. 新年,2年级上,1,2年级上@r49: [card / present / <New Year> / merry / too],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
new year's day,New Year's Day,na. 元旦,5年级下,1,5年级下@r21: [advice / more / <New Year's Day> / Tree Planting Day / Mother's Day],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
news shows,news shows,新闻节目,5年级上,1,5年级上@r58: [fantastic / cartoons / <news shows> / nature shows / chore],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
next to,next to,prep. 紧邻;在...近旁;仅次于;紧接,4年级下,1,4年级下@r3: [across from / <next to> / between / restaurant],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
north,north,"n. 北,北方 adj. 北方的;朝北的 adv. 在北方,向北方",6年级上,1,6年级上@r11: [taste / map / <north> / south / east],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
on foot,on foot,na. 步行;在进行中;徒步,4年级上,1,4年级上@r45: [by taxi / by bike / <on foot> / by school bus / by subway],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
on the weekend,on the weekend,在周末;在这个周末;美式英语,4年级上,1,4年级上@r23: [go fishing / go to the cinema / <on the weekend> / fun / always],3,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
once a week,once a week,一周一次;每周一次;一星期一次,4年级下,1,4年级下@r73: [free / never / <once a week> / twice a week / three times a week],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
out of,out of,prep. 来自;离开,5年级下,1,5年级下@r99: [started to use a computer / all over / <out of> / into / chopsticks],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
paint,paint,"vt. 油漆;绘画;装饰;涂色于;描绘;(用语言,文字等)描写;擦脂粉等 vi. 油漆;描绘;绘画;化妆 n. 油漆;颜料,涂料;绘画作品;胭脂等化妆品;色彩,装饰",4年级上|6年级上,2,4年级上@r27: [always / step / <paint> / evening / dirty] || 6年级上@r84: [Danish / poem / <paint> / invention / invent],1,multiple-occurrences|multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
party,party,"n. 政党,党派;聚会,派对;当事人 [复数 parties] vi. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]",3年级上|5年级上,2,3年级上@r104: [birthday / first / <party> / delicious] || 5年级上@r12: [popular / talk / <party> / all / but],1,multiple-occurrences|multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
pen pal,pen pal,abbr. (=pen-friend) n. 笔友,6年级上,1,6年级上@r99: [be afraid of / hear / <pen pal> / broken / pity],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
pencil box,pencil box,铅笔盒;文具盒;你的铅笔盒,5年级上,1,5年级上@r44: [pencil sharpener / a pair of scissors / <pencil box> / a box of crayons / please],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
pencil sharpener,pencil sharpener,n. 卷笔刀,5年级上,1,5年级上@r42: [butterfly / exercise book / <pencil sharpener> / a pair of scissors / pencil box],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
pet,pet,n. 宠物;生气;受宠爱的人 adj. 宠爱的 vt. 宠爱 vi. 生气;爱抚,3年级上,1,3年级上@r56: [chicken / rabbit / <pet> / snake / turtle],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
pick fruit,pick fruit,无,4年级上,1,4年级上@r19: [go to a drawing club / climb a hill / <pick fruit> / play computer games / go fishing],2,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
pity,pity,"n. 怜悯,同情;遗憾 vt. 对......表示怜悯;对......感到同情",6年级上,1,6年级上@r101: [pen pal / broken / <pity> / prize / look forward to],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
place,place,n. 地方;住所;座位 vt. 放置;任命;寄予 vi. 名列前茅;取得名次,4年级下,1,4年级下@r36: [busy / station / <place> / thing / stay],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
play chess,play chess,na. 下象棋,3年级下,1,3年级下@r29: [play sports / draw pictures / <play chess> / dance / sing songs],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
play computer games,play computer games,玩电脑游戏;打电脑游戏;玩电子游戏,4年级上,1,4年级上@r20: [climb a hill / pick fruit / <play computer games> / go fishing / go to the cinema],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
play football,play football,na. 踢足球;对难办的事采取踢皮球的态度,2年级下|3年级下|4年级上,3,2年级下@r2: [<play football> / fly a kite / ride a bike] || 3年级下@r37: [wake up / be back / <play football> / fly a kite / ride a bike] || 4年级上@r94: [green / red / <play football> / nurse / cook],2,multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
play sports,play sports,做运动;进行体育运动;进行体育活动,3年级下,1,3年级下@r27: [blackboard / after school / <play sports> / draw pictures / play chess],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
play the violin,play the violin,拉小提琴;弹小提琴;演奏小提琴,4年级下,1,4年级下@r67: [catch / go for a picnic / <play the violin> / go skating / go camping],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
play with,play with,na. 玩弄(火等);以...自娱,3年级下,1,3年级下@r68: [watching TV / feeding the fish / <play with> / in one hour / everyone],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
play with fire,play with fire,na. 轻举妄动,4年级上,1,4年级上@r83: [climb on the window ledge / dangerous / <play with fire> / Be careful! / run down the stairs],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
