MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,RiskSignals,CandidateType,CandidateRoute,ProposedObjectDecision,ResolutionStatus,Confidence,TargetReference,ResolutionBasis,Rationale,KloseMergeAuthorized
doing jigsaw puzzles,doing jigsaw puzzles,无,4年级下,1,4年级下@r59: [singing / dancing / <doing jigsaw puzzles> / making models / collecting erasers],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
doll,doll,n. 洋娃娃;玩偶;无头脑的美丽女人 vt. 把...打扮得花枝招展,1年级下,1,1年级下@r18: [plane / ball / <doll> / train / car],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,洋娃娃；玩偶,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
downtown,downtown,n. 市中心区;三分线以外 adj. 市中心的 adv. 往闹市区;在市区,6年级下,1,6年级下@r14: [art gallery / public library / <downtown> / Lake Ontario / stadium],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,medium,市中心；在市中心,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
drank cold drinks,drank cold drinks,无,5年级下,1,5年级下@r72: [won / went to the beach / <drank cold drinks> / swam / ate ice-cream],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
draw pictures,draw pictures,画画;画图画;画儿,3年级下,1,3年级下@r28: [after school / play sports / <draw pictures> / play chess / dance],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
dream,dream,"n. 梦想,愿望;梦 adj. 梦的;理想的;不切实际的 vt. 梦想;做梦;想到 vi. 梦想;做梦,梦见;想到",4年级下,1,4年级下@r44: [take photos / museum / <dream> / sea / ski],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,The travel/activity neighborhood is compatible with noun 'dream' and verb 'dream'; the source list has no sentence/unit evidence to choose one learning unit.,no
dumpling,dumpling,"n. 饺子,汤团;面团布丁",6年级上,1,6年级上@r93: [blind / fall / <dumpling> / fan / ice lantern],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
eat breakfast,eat breakfast,吃早饭;吃早餐;食早餐,2年级下,1,2年级下@r40: [playtime / get up / <eat breakfast> / go to school / eat lunch],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
eat dinner,eat dinner,吃晚饭;吃晚餐;吃饭,2年级下,1,2年级下@r44: [eat lunch / go home / <eat dinner> / go to bed / when],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
eat lunch,eat lunch,吃午饭;吃午餐;吃中午饭,2年级下,1,2年级下@r42: [eat breakfast / go to school / <eat lunch> / go home / eat dinner],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
eat seafood,eat seafood,无,4年级下,1,4年级下@r47: [sea / ski / <eat seafood> / visit the Mogao Caves / West Lake],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
english-chinese dictionary,English-Chinese dictionary,英汉字典;辞典;氏英字典,6年级下,1,6年级下@r38: [wild goose / frog / <English-Chinese dictionary> / shopping centre / shopping mall],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
every day,every day,na. 每日,2年级下,1,2年级下@r47: [go to bed / when / <every day> / at / Sunday],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
everyone,everyone,n. 每个人 pron. 每个人;人人,3年级下,1,3年级下@r70: [play with / in one hour / <everyone> / children / run],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,每个人；人人,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
everywhere,everywhere,n. 每个地方 adv. 到处,5年级下,1,5年级下@r53: [say / make a card / <everywhere> / flower show / cleaned the window],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,到处；处处,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
excuse me,Excuse me,un. 请原谅;对不起,4年级上,1,4年级上@r73: [find / Information Centre / <Excuse me> / phone / dad],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
exercise book,exercise book,n. 练习本;练习册;作业本,5年级上,1,5年级上@r41: [lovely / butterfly / <exercise book> / pencil sharpener / a pair of scissors],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
fall,fall,n. 下降;秋天;瀑布 adj. 秋天的 vi. 落下;变成;来临;减弱 vt. 砍倒;击倒,6年级上,1,6年级上@r92: [deaf / blind / <fall> / dumpling / fan],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,The neighborhood is not sufficient to distinguish fall='落下/摔倒' from fall='秋天' or another elementary use.,no
fantastic,fantastic,"n. 古怪的人 adj. 奇异的;空想的;异想天开的;古怪的;极好的,极出色的;不可思议的;不切实际的",5年级上,1,5年级上@r56: [wonderful / cool / <fantastic> / cartoons / news shows],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,极好的；非常棒的,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
father christmas,Father Christmas,na. 圣诞老人,2年级上,1,2年级上@r45: [hill / Christmas / <Father Christmas> / Christmas tree / card],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
father's day,Father's Day,na. 〈美〉父亲节(每年六月的第三个星期日),5年级下,1,5年级下@r25: [Mother's Day / Children's Day / <Father's Day> / Teachers' Day / National Day],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
feeding the fish,feeding the fish,喂鱼 晕船,3年级下,1,3年级下@r67: [listening to music / watching TV / <feeding the fish> / play with / in one hour],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
felt happy,felt happy,无,5年级下,1,5年级下@r81: [slept / delicious / <felt happy> / sad / left],missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,route-source-chunk-no-vocabulary-identity,rule-reviewed,high,,inflected-or-gerund-source-chunk,Inflected/event chunk remains preserved as Source Fact but is not treated as a standalone Vocabulary learning unit.,no
fifteen,fifteen,n. 十五;十五个;十五人组成的橄榄球队 num. 十五 adj. 十五的,2年级下,1,2年级下@r36: [thirteen / fourteen / <fifteen> / time / playtime],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,十五,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
flower show,flower show,na. 花卉展览,5年级下,1,5年级下@r54: [make a card / everywhere / <flower show> / cleaned the window / watched TV],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
fly a kite,fly a kite,na. 放风筝;试探舆论;开空头支票;〈美〉(从狱中)非法寄出信件,2年级下|3年级下,2,2年级下@r3: [play football / <fly a kite> / ride a bike / make a model plane] || 3年级下@r38: [be back / play football / <fly a kite> / ride a bike / swim],multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
foggy,foggy,"adj. 有雾的;模糊的,朦胧的",6年级上,1,6年级上@r19: [around / the Yangtze River / <foggy> / spicy / silk],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
for rent,for rent,na. 出租的;招租,3年级下,1,3年级下@r80: [study / kitchen / <for rent> / sofa / light],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
fourteen,fourteen,num. 十四;十四个;第十四 n. 十四的记号;十四岁;十四点钟;十五世纪,2年级下,1,2年级下@r35: [fifty / thirteen / <fourteen> / fifteen / time],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,十四,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
free,free,"adj. 免费的;自由的,不受约束的;[化学] 游离的 vt. 使自由,解放;释放 adv. 自由地;免费",4年级下,1,4年级下@r71: [go camping / do the housework / <free> / never / once a week],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,空闲的；有空的,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
french,French,n. 法国人;法语 adj. 法国的;法语的;法国人的,6年级上,2,6年级上@r35: [clock / speak / <French> / Tower Bridge / the London Eye] || 6年级上@r81: [writer / American / <French> / Danish / poem],multiple-occurrences|multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,within-source-split-required,model-reviewed,high,法语 | 法国的/法国人（国籍用法）,model-single-token-within-source-semantic-collision,Renjiao has one occurrence in 'speak French' and another in an American/French/Danish nationality block; one surface therefore carries at least two pedagogically distinct target uses.,no
french fries,French fries,n. 【食】炸薯条,5年级下,1,5年级下@r84: [sad / left / <French fries> / were / was born],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
frog,frog,n. 青蛙;[铁路] 辙叉;饰扣 vi. 捕蛙,6年级下,1,6年级下@r37: [swan / wild goose / <frog> / English-Chinese dictionary / shopping centre],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,青蛙,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
get to,get to,na. 接触到;开始;〈美口〉收买,4年级下,1,4年级下@r17: [get / money / <get to> / before / leave],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
get up,get up,na. 起床;起身;站起来;叫...起床,2年级下|4年级上,2,2年级下@r39: [time / playtime / <get up> / eat breakfast / go to school] || 4年级上@r15: [friend / father / <get up> / visit one's grandparents / go to a drawing club],multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
gloves,gloves,n. [服装] 手套(glove的复数) v. 给...戴手套(glove的三单形式),3年级上,1,3年级上@r77: [sweater / jacket / <gloves> / trousers / should],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
glue stick,glue stick,n. 胶棒,4年级上,1,4年级上@r67: [crayon / scissors / <glue stick> / paper / use],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go boating,go boating,na. 乘船〔尤指划船〕游玩,4年级下,1,4年级下@r33: [buy toys / see a film / <go boating> / busy / station],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go camping,go camping,去野营;去露营;宿营,4年级下,1,4年级下@r69: [play the violin / go skating / <go camping> / do the housework / free],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go fishing,go fishing,去钓鱼;垂钓;我以前常去钓鱼,4年级上,1,4年级上@r21: [pick fruit / play computer games / <go fishing> / go to the cinema / on the weekend],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go for a picnic,go for a picnic,去野餐;去野炊;出去野炊,4年级下,1,4年级下@r66: [stamp / catch / <go for a picnic> / play the violin / go skating],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go home,go home,na. 回家;〈口〉死;(忠告等)刻骨铭心;击中,2年级下,1,2年级下@r43: [go to school / eat lunch / <go home> / eat dinner / go to bed],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go skating,go skating,去滑冰;去溜冰;滑雪,4年级下,1,4年级下@r68: [go for a picnic / play the violin / <go skating> / go camping / do the housework],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go straight,go straight,na. 笔直走,4年级下,1,4年级下@r11: [turn left / turn right / <go straight> / crossroads / neighbourhood],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to a drawing club,go to a drawing club,无,4年级上,1,4年级上@r17: [get up / visit one's grandparents / <go to a drawing club> / climb a hill / pick fruit],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to bed,go to bed,na. 睡;同床;【印】付印,2年级下|5年级下,2,2年级下@r45: [go home / eat dinner / <go to bed> / when / every day] || 5年级下@r4: [too much / candy / <go to bed> / early / exercise],multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to school,go to school,na. 到校上课;上学去;开始求学,2年级下,1,2年级下@r41: [get up / eat breakfast / <go to school> / eat lunch / go home],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to the cinema,go to the cinema,去看电影;去电影院;上电影院,4年级上,1,4年级上@r22: [play computer games / go fishing / <go to the cinema> / on the weekend / fun],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
grade,grade,n. 年级;等级;成绩;级别;阶段 vt. 评分;把...分等级 vi. 分等级;逐渐变化,3年级上,1,3年级上@r10: [how old / class / <grade> / age / dear],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,年级,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
grocery,grocery,n. 食品杂货店 食品杂货,4年级下,1,4年级下@r8: [post office / bank / <grocery> / turn left / turn right],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
guess,guess,n. 猜测;推测 vi. 猜;推测;猜中 vt. 猜测;认为;推测;猜中 n. 盖尔斯(美国服装品牌),5年级上,1,5年级上@r26: [young / teach / <guess> / has / animal],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,medium,猜；猜测,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
habit,habit,"n. 习惯,习性;嗜好 vt. 使穿衣",6年级下,1,6年级下@r20: [sandwich / top / <habit> / idea / less],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,习惯,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
handsome,handsome,"adj. (男子)英俊的;可观的;大方的,慷慨的;健美而端庄的",2年级上|3年级下,2,2年级上@r27: [thin / short / <handsome> / new / does] || 3年级下@r47: [aunt / cousin / <handsome> / beautiful / lost],multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,英俊的；帅气的,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
happy,happy,adj. 幸福的;高兴的;巧妙的,2年级上|6年级上,2,2年级上@r55: [for / thank / <happy>] || 6年级上@r65: [sad / excited / <happy> / ill / win],multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,高兴的；开心的,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
have a picnic,have a picnic,举行野餐;去野餐;吃野餐,5年级下,1,5年级下@r41: [make a poster / celebrate / <have a picnic> / office / together],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
help,help,n. 帮助;补救办法;帮忙者;有益的东西 vt. 帮助;促进;治疗;补救 vi. 帮助;有用;招待,3年级上,1,3年级上@r23: [the matter / hurt / <help> / bad / bite],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,帮助；帮忙,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
helpful,helpful,adj. 有帮助的;有益的,5年级上,1,5年级上@r8: [cute / friendly / <helpful> / active / popular],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
here,here,n. 这里 adv. 在这里;此时 int. 嘿!;喂!,2年级上,1,2年级上@r52: [merry / too / <here> / for / thank],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,The list neighborhood is too weak to determine the exact deictic/interjection use of here.,no
hiking,hiking,n. 徒步旅行,6年级上,1,6年级上@r38: [Tower Bridge / the London Eye / <hiking> / sunrise / president],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
hockey,hockey,n. 曲棍球;冰球,6年级下,1,6年级下@r25: [at least / talk about / <hockey> / together / special],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
hope,hope,n. 希望;期望;信心 vi. 希望;期待;信赖 vt. 希望;期望,4年级上,1,4年级上@r33: [house / poor / <hope> / so / Saturday],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,The neighborhood does not establish noun 'hope' versus verb 'hope'.,no
hot pot,hot pot,na. 〈英〉马铃薯炖牛[羊]肉,6年级下,1,6年级下@r42: [shopping mall / amazing / <hot pot>],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
ice lantern,ice lantern,无,6年级上,1,6年级上@r95: [dumpling / fan / <ice lantern> / bring / be afraid of],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
ice-cream,ice-cream,"a. 冰淇淋的, 乳白色的",3年级上,1,3年级上@r39: [cake / fruit / <ice-cream> / potato / tomato],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
in one hour,in one hour,无,3年级下,1,3年级下@r69: [feeding the fish / play with / <in one hour> / everyone / children],missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
in the future,in the future,adv. 今后,4年级上,1,4年级上@r103: [farmer / worker / <in the future> / great / job],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
information centre,Information Centre,信息中心;资讯中心;情报中心,4年级上,1,4年级上@r72: [please / find / <Information Centre> / Excuse me / phone],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
