MatchKey,DisplayForms,Definitions,BeijingContexts,RenjiaoContexts,RiskSignals,ReviewStatus,ProposedDecision,ProposedSense,Rationale
forget,forget,vi. 忘记 vt. 忘记;忽略,5年级上@r62:[fast / panda / <forget> / cousin / brave],5年级上@r17:[sometimes / bark / <forget> / with / wear glasses],multi-pos-gloss,pending,,,
forty,forty,n. 四十 adj. 四十的;四十个的,3年级上@r73:[sixty / ruler / <forty> / blackboard / seventy],2年级下@r32:[twenty / thirty / <forty> / fifty / thirteen],multi-pos-gloss,pending,,,
friday,Friday,n. 星期五,6年级下@r53:[clear / season / <Friday> / slow / yesterday],2年级下@r54:[Wednesday / Thursday / <Friday> / Saturday / today] || 4年级上@r116:[Wednesday / Thursday / <Friday> / teacher],multiple-occurrences,pending,,,
friend,friend,n. 朋友;助手;赞助者,5年级上@r55:[basketball / with / <friend> / baseball / team],2年级上@r12:[she / classmate / <friend> / woman / girl] || 4年级上@r13:[late / swim / <friend> / father / get up],multiple-occurrences,pending,,,
friendly,friendly,"adj. 友好的;亲切的;支持的;融洽的,和睦的 adv. 友善地;温和地",6年级下@r46:[toilet / under / <friendly> / stay / most],5年级上@r7:[quiet / cute / <friendly> / helpful / active],multi-pos-gloss,pending,,,
fruit,fruit,n. 水果;产物 vt. 使......结果实 vi. 结果实,5年级上@r30:[autumn / family / <fruit> / climb / usually],3年级上@r38:[bread / cake / <fruit> / ice-cream / potato],multi-pos-gloss,pending,,,
fun,fun,n. 乐趣;玩笑;有趣的人或事 adj. 供娱乐用的 vi. 开玩笑,3年级下@r7:[too / plant / <fun> / people / favourite],4年级上@r24:[go to the cinema / on the weekend / <fun> / always / step],multi-pos-gloss,pending,,,
garden,garden,n. 花园;菜园 vt. 栽培花木 vi. 从事园艺;在园中种植,6年级下@r18:[only / street / <garden> / vacation / shoulder],4年级上@r50:[by plane / by train / <garden> / meeting place / gate] || 6年级上@r4:[morning tea / soup / <garden> / the Potala Palace / the Summer Palace],multi-pos-gloss|multiple-occurrences,pending,,,
gate,gate,n. 大门;出入口;门道 vt. 给...装大门,1年级上@r10:[key / car / <gate> / kite / girl],4年级上@r52:[garden / meeting place / <gate> / transportation / film],multi-pos-gloss,pending,,,
get,get,n. 生殖;幼兽 vi. 成为;变得;到达 vt. 使得|n. 生殖;幼兽 vi. 成为;变得;到达 vt. 使得;获得;受到;变成,4年级上@r33:[take / fine / <get> / pen / kind],4年级下@r15:[neighbourhood / send / <get> / money / get to],multi-pos-gloss,pending,,,
girl,girl,"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",1年级上@r12:[gate / kite / <girl> / bike / uniform] || 3年级上@r3:[boy / <girl> / Miss / first],2年级上@r14:[friend / woman / <girl> / man / boy],multiple-occurrences,pending,,,
go,go,n. 去;进行;尝试 vi. 走;达到;运转;趋于 vt. 忍受;出产;以...打赌 [复数 goes 第三人称单数 goes 过去式 went 过去分词 gone 现在分词 going],2年级上@r8:[I / Wednesday / <go> / on / are],2年级上@r36:[park / hospital / <go> / to / grass],multi-pos-gloss,pending,,,
grandfather,grandfather,n. 祖父;始祖 vt. 不受新规定限制,2年级上@r28:[grandmother / grandpa / <grandfather> / or / is],2年级上@r7:[sister / grandmother / <grandfather> / who / he] || 3年级下@r55:[much / welcome / <grandfather> / grandmother / father],multi-pos-gloss|multiple-occurrences,pending,,,
grandmother,grandmother,n. 祖母;女祖先 vt. 当...的祖母 vi. 当祖母,2年级上@r26:[film / grandma / <grandmother> / grandpa / grandfather],2年级上@r6:[brother / sister / <grandmother> / grandfather / who] || 3年级下@r56:[welcome / grandfather / <grandmother> / father / mother],multi-pos-gloss|multiple-occurrences,pending,,,
grass,grass,"n. 草;草地,草坪 vt. 放牧;使......长满草;使......吃草 vi. 长草",6年级下@r22:[shoulder / flower / <grass> / feed / skirt],2年级上@r38:[go / to / <grass> / tree / flower],multi-pos-gloss,pending,,,
great,great,"n. 大师;大人物;伟人们 adj. 伟大的,重大的;极好的,好的;主要的",3年级下@r35:[food / best / <great> / apple / drink],4年级上@r104:[worker / in the future / <great> / job / sick] || 5年级上@r50:[also / saleswoman / <great> / love / how much],multi-pos-gloss|multiple-occurrences,pending,,,
green,green,n. 绿色;青春 adj. 绿色的;青春的 vt. 使...变绿色 vi. 变绿色,2年级下@r73:[sky / blue / <green> / white / snow],1年级上@r44:[blue / red / <green> / colour / apple] || 4年级上@r92:[street / safety rule / <green> / red / play football],multi-pos-gloss|multiple-occurrences,pending,,,
hair,hair,n. 头发;毛发;些微 adj. 毛发的;护理毛发的;用毛发制成的 vt. 除去...的毛发 vi. 生长毛发;形成毛状纤维,1年级下@r4:[cap / head / <hair> / uniform / nose] || 2年级上@r60:[red / eye / <hair> / long / and],3年级上@r15:[body / head / <hair> / arm / hand],multi-pos-gloss|multiple-occurrences,pending,,,
hand,hand,"n. 手,手艺;帮助;指针;插手 vt. 传递,交给;支持;搀扶",2年级上@r69:[body / small / <hand> / thank / old],3年级上@r17:[hair / arm / <hand> / leg / foot],multi-pos-gloss,pending,,,
he,he,"n. 男孩,男人;它(雄性动物) pron. 他",2年级下@r67:[she / bike / <he> / come / taxi],2年级上@r9:[grandfather / who / <he> / she / classmate],multi-pos-gloss,pending,,,
head,head,n. 头;头痛;上端;最前的部分;理解力 adj. 头的;主要的;在顶端的 vt. 前进;用头顶;作为...的首领;站在...的前头;给...加标题 vi. 出发;成头状物;船驶往,1年级下@r3:[cap / <head> / hair / uniform] || 6年级下@r15:[police / beautiful / <head> / only / street],3年级上@r14:[dear / body / <head> / hair / arm],multi-pos-gloss|multiple-occurrences,pending,,,
hear,hear,"vi. 听;听见 vt. 听到,听;听说;审理",3年级下@r12:[turn / bird / <hear> / out / flag],6年级上@r98:[bring / be afraid of / <hear> / pen pal / broken],multi-pos-gloss,pending,,,
home,home,"n. 家,住宅;产地;家乡;避难所 adj. 国内的,家庭的;有效的 vt. 归巢,回家 adv. 在家,回家;深入地",2年级下@r7:[when / thirty / <home> / five / fifty],3年级下@r73:[children / run / <home> / bedroom / living room],multi-pos-gloss,pending,,,
horse,horse,n. 马;骑兵;脚架;海洛因 vt. 使骑马;系马于;捉弄 vi. 骑马;作弄人,6年级上@r32:[many / ride / <horse> / smart / PE],5年级上@r31:[elephant / panda / <horse> / cow / pig],multi-pos-gloss,pending,,,
hospital,hospital,n. 医院,3年级下@r65:[aunt / uncle / <hospital> / nurse / doctor],2年级上@r35:[supermarket / park / <hospital> / go / to] || 4年级下@r21:[leave / toy / <hospital> / bookshop / school],multiple-occurrences,pending,,,
hot,hot,adj. 热的;辣的;热情的;激动的;紧迫的 vt. 增加;给...加温 adv. 热;紧迫地 vi. 变热,3年级上@r58:[sunny / warm / <hot> / cool / rainy],2年级下@r22:[autumn / winter / <hot> / warm / cool],multi-pos-gloss,pending,,,
hotel,hotel,"n. 旅馆,饭店;客栈 vt. 使...在饭店下榻 vi. 进行旅馆式办公",6年级上@r25:[see / Monday / <hotel> / angry / hill],4年级下@r29:[street / sports centre / <hotel> / square / buy toys],multi-pos-gloss,pending,,,
house,house,n. 住宅;家庭;机构;议会;某种用途的建筑物 vt. 覆盖;给...房子住;把...储藏在房内 vi. 住,1年级上@r6:[night / lake / <house> / boat / key] || 3年级上@r91:[together / bright / <house> / same],4年级上@r31:[dirty / their / <house> / poor / hope],multi-pos-gloss|multiple-occurrences,pending,,,
how,how,adv. 如何;多少;多么 n. 方法;方式 conj. 如何,2年级下@r60:[bag / trousers / <how> / bus / by],1年级上@r36:[nine / ten / <how> / many / are],multi-pos-gloss,pending,,,
hurt,hurt,n. 痛苦;危害;痛苦的原因 vt. 使受伤;损害;使疼痛;使痛心 adj. 受伤的;痛苦的;受损的 vi. 感到疼痛;有坏处;带来痛苦,4年级下@r21:[men / right / <hurt> / near / excuse],3年级上@r22:[feet / the matter / <hurt> / help / bad] || 6年级上@r74:[test / competition / <hurt> / inventor / artist],multi-pos-gloss|multiple-occurrences,pending,,,
i,I,n. 碘元素;英语字母I pron. 我,2年级上@r6:[it / Tuesday / <I> / Wednesday / go],1年级上@r7:[schoolbag / teacher / <I> / have / a],multi-pos-gloss,pending,,,
ill,ill,n. 疾病;不幸 adj. 生病的;坏的;邪恶的;不吉利的 adv. 不利地;恶劣地;几乎不,6年级下@r59:[careful / all / <ill> / begin / fan],6年级上@r66:[excited / happy / <ill> / win / race],multi-pos-gloss,pending,,,
in,in,prep. 按照(表示方式);从事于;在...之内 n. 执政者;门路;知情者 adj. 在里面的;时髦的 adv. 进入;当选;(服装等)时髦;在屋里,2年级上@r11:[on / are / <in> / a / week],1年级下@r7:[on / under / <in> / where / the],multi-pos-gloss,pending,,,
is,is,v. 是(be的三单形式) n. 存在,2年级上@r30:[grandfather / or / <is> / eleven / his],1年级上@r17:[mouth / this / <is> / my / dog],multi-pos-gloss,pending,,,
jacket,jacket,"n. 羽绒滑雪衫;西装短外套;短上衣,夹克;土豆皮;书籍的护封;文件套,公文夹 vt. 给...穿夹克;给...装护套;给...包上护封;〈口〉打",2年级下@r53:[sofa / this / <jacket> / that / schoolbag],3年级上@r76:[shoes / sweater / <jacket> / gloves / trousers],multi-pos-gloss,pending,,,
job,job,n. 工作;职业 vt. 承包;代客买卖 vi. 做零工,5年级下@r14:[would / different / <job> / follow / listen],4年级上@r105:[in the future / great / <job> / sick / people],multi-pos-gloss,pending,,,
juice,juice,"n. (水果)汁,液;果汁",1年级下@r21:[jam / apple / <juice> / peach / grapes] || 5年级上@r4:[supermarket / meat / <juice> / pay / English],1年级下@r34:[want / and / <juice> / tea / milk],multiple-occurrences,pending,,,
kind,kind,n. 种类;性质 adj. 和蔼的;宽容的;令人感激的,4年级上@r28:[light / door / <kind> / window / glass] || 4年级上@r35:[get / pen / <kind> / brown / think],6年级上@r49:[shark / whale / <kind> / metre / spend],multi-pos-gloss|multiple-occurrences,pending,,,
king,king,"n. 国王;最有势力者;王棋 vi. 统治;做国王 vt. 立...为王 adj. 主要的,最重要的,最大的",1年级下@r36:[sun / leaf / <king> / park / gift],4年级下@r40:[stay / star / <king> / central / take photos],multi-pos-gloss,pending,,,
know,know,vt. 知道;认识;懂得 vi. 了解;熟悉;确信,3年级上@r81:[holiday / Christmas / <know> / Chinese / ball],3年级下@r51:[lost / water bottle / <know> / ok / much],multi-pos-gloss,pending,,,
lake,lake,n. 湖;深红色颜料;胭脂红 vt. (使)血球溶解 vi. (使)血球溶解,1年级上@r5:[moon / night / <lake> / house / boat] || 4年级上@r63:[close / farmer / <lake> / say / air],2年级上@r42:[flower / boat / <lake> / hill / Christmas],multi-pos-gloss|multiple-occurrences,pending,,,
late,late,adj. 晚的;迟的;已故的;最近的 adv. 晚;迟;最近;在晚期,5年级上@r23:[homework / half / <late> / dirty / ask],4年级上@r11:[often / be good at / <late> / swim / friend],multi-pos-gloss,pending,,,
left,left,adj. 左边的;左派的;剩下的 adv. 在左面 n. 左边;左派;激进分子 v. 离开(leave的过去式),4年级下@r34:[way / then / <left> / miss / China],5年级下@r83:[felt happy / sad / <left> / French fries / were],multi-pos-gloss,pending,,,
light,light,n. 光;光线;灯;打火机;领悟;浅色;天窗 adj. 轻的;浅色的;明亮的;轻松的;容易的;清淡的 vi. 点着;变亮;着火 vt. 照亮;点燃;着火 adv. 轻地;清楚地;轻便地,4年级上@r26:[computer / easy / <light> / door / kind],1年级下@r10:[where / the / <light> / bed / door] || 3年级下@r82:[for rent / sofa / <light> / bed / door],multi-pos-gloss|multiple-occurrences,pending,,,
like,like,vt. 喜欢;想;愿意 vi. 喜欢;希望 prep. 像;如同 adj. 同样的;相似的 n. 爱好;同样的人或物 adv. 可能 conj. 好像,3年级上@r55:[July / weather / <like> / sunny / warm] || 6年级上@r52:[dress / sing / <like> / colour / clothes],1年级上@r52:[do / you / <like> / yes / no],multi-pos-gloss|multiple-occurrences,pending,,,
live,live,adj. 活的;生动的;实况转播的;精力充沛的 vt. 经历;度过 vi. 活;居住;生存,4年级上@r66:[say / air / <live>],6年级下@r2:[<live> / quite / scarf],multi-pos-gloss,pending,,,
long,long,"n. 长时间;[语] 长音节;(服装的)长尺寸;长裤 adj. 长的;过长的;做多头的;长时间的;冗长的,长音 vi. 渴望;热望 adv. 长期地;始终",2年级上@r61:[eye / hair / <long> / and / short],3年级上@r60:[turtle / small / <long> / look for / tail],multi-pos-gloss,pending,,,
look,look,vt. 看;期待;注意;面向;看上去像 vi. 看;看起来;注意;面向 n. 看;样子;面容,2年级上@r74:[eight / cake / <look> / at / tree] || 3年级下@r51:[water / bottle / <look> / mother / box],2年级上@r17:[man / boy / <look> / his / name],multi-pos-gloss|multiple-occurrences,pending,,,
lost,lost,adj. 失去的;丧失的;迷惑的 v. 遗失(lose的过去分词);失败,4年级下@r61:[never / lose / <lost> / key / playground],3年级下@r49:[handsome / beautiful / <lost> / water bottle / know],multi-pos-gloss,pending,,,
love,love,"n. 恋爱;亲爱的;酷爱;喜爱的事物;爱情,爱意;疼爱;热爱;爱人,所爱之物 v. 爱,热爱;爱戴;赞美,称赞;喜爱;喜好;喜欢;爱慕",2年级下@r34:[evening / room / <love> / bed / big],5年级上@r51:[saleswoman / great / <love> / how much / a lot],multi-pos-gloss,pending,,,
lovely,lovely,"adj. 可爱的;令人愉快的;爱恋的;秀丽的,优美的 n. 美女;可爱的东西",5年级下@r39:[sister / eighteen / <lovely> / kid / seven],5年级上@r39:[fast / why / <lovely> / butterfly / exercise book],multi-pos-gloss,pending,,,
man,man,n. 人;男人;人类;丈夫;雇工 vt. 操纵;给...配置人员;使增强勇气;在...就位,4年级下@r18:[pill / soon / <man> / men / right],2年级上@r15:[woman / girl / <man> / boy / look],multi-pos-gloss,pending,,,
many,many,pron. 许多;许多人 adj. 许多的,6年级上@r30:[west / around / <many> / ride / horse],1年级上@r37:[ten / how / <many> / are / there],multi-pos-gloss,pending,,,
map,map,vt. 映射;计划;绘制地图;确定基因在染色体中的位置 n. 地图;示意图;染色体图 vi. 基因被安置,1年级下@r47:[rabbit / kitten / <map> / flag / desk] || 5年级上@r47:[city / afternoon / <map> / Canada / leaf],6年级上@r10:[vacation / taste / <map> / north / south],multi-pos-gloss|multiple-occurrences,pending,,,
may,May|may,"aux. 可以,能够;可能,也许;祝,愿;会,能",3年级上@r48:[August / born / <May> / June / fifteenth] || 3年级下@r38:[apple / drink / <may> / tea / sure],3年级上@r94:[March / April / <May> / June / July],case-or-form-variant|multiple-occurrences,pending,,,
meet,meet,vt. 满足;遇见;对付 vi. 相遇;接触 n. 集会 adj. 合适的;适宜的,3年级上@r13:[hi / name / <meet> / fifth / sixth],6年级下@r8:[pupil / arrive / <meet> / wardrobe / show ... around],multi-pos-gloss,pending,,,
milk,milk,n. 牛奶;乳状物 vt. 榨取;挤...的奶 vi. 挤奶,2年级下@r18:[for / bread / <milk> / egg / an],1年级下@r36:[juice / tea / <milk> / water / thirsty],multi-pos-gloss,pending,,,
monday,Monday,n. 星期一,6年级上@r24:[supper / see / <Monday> / hotel / angry],2年级下@r50:[at / Sunday / <Monday> / Tuesday / Wednesday] || 4年级上@r112:[myself / sound / <Monday> / Tuesday / Wednesday],multiple-occurrences,pending,,,
monkey,monkey,n. 猴子;顽童 vi. 胡闹;捣蛋 vt. 嘲弄,1年级下@r32:[fox / lion / <monkey> / zebra / sun] || 2年级上@r53:[dog / toy / <monkey> / these / them],1年级上@r22:[bird / tiger / <monkey> / cat / what] || 3年级上@r68:[bird / fish / <monkey> / tiger / big],multi-pos-gloss|multiple-occurrences,pending,,,
mother,mother,n. 母亲;大娘;女修道院院长 vt. 生下;养育;像母亲般关怀或照管 adj. 母亲的;出生地的,3年级下@r52:[bottle / look / <mother> / box / drive],2年级上@r3:[father / <mother> / brother / sister] || 3年级下@r58:[grandmother / father / <mother> / brother / sister],multi-pos-gloss|multiple-occurrences,pending,,,
mouth,mouth,"n. 口,嘴;河口 vt. 做作地说,装腔作势地说;喃喃地说出 vi. 装腔作势说话",4年级下@r14:[fever / has / <mouth> / flu / pill],1年级上@r15:[eye / nose / <mouth> / this / is] || 3年级上@r34:[eye / nose / <mouth> / ear / bread],multi-pos-gloss|multiple-occurrences,pending,,,
much,much,"adv. 非常,很 adj. 大量的 n. 许多,大量 pron. 许多,大量",3年级下@r59:[write / open / <much> / hard / afraid],3年级下@r53:[know / ok / <much> / welcome / grandfather],multi-pos-gloss,pending,,,
my,my,pron. 我的 int. 哎呀(表示惊奇等);喔唷,2年级上@r38:[your / sixteen / <my> / cow / nineteen],1年级上@r18:[this / is / <my> / dog / bird] || 3年级上@r2:[<my> / your / name],multi-pos-gloss|multiple-occurrences,pending,,,
name,name,"n. 名称,名字;姓名;名誉 vt. 命名,任命;指定;称呼;提名;叫出 adj. 姓名的;据以取名的",3年级上@r12:[pupil / hi / <name> / meet / fifth],2年级上@r19:[look / his / <name> / her / or] || 3年级上@r4:[my / your / <name> / new / year],multi-pos-gloss|multiple-occurrences,pending,,,
near,near,adj. 近的;亲近的;近似的 adv. 近;接近 prep. 靠近;近似于,4年级下@r22:[right / hurt / <near> / excuse / library],1年级下@r14:[door / box / <near> / behind / plane] || 4年级上@r36:[so / Saturday / <near> / day / usually],multi-pos-gloss|multiple-occurrences,pending,,,
new,new,"adj. 新的,新鲜的;更新的;初见的 adv. 新近",2年级上@r78:[tree / big / <new> / year],2年级上@r28:[short / handsome / <new> / does / bookshop] || 3年级上@r5:[your / name / <new> / year / old],multi-pos-gloss|multiple-occurrences,pending,,,
nine,nine,"n. 九,九个 num. 九;九个 adj. 九的,九个的",2年级下@r10:[five / fifty / <nine> / twenty / sleep],1年级上@r34:[seven / eight / <nine> / ten / how],multi-pos-gloss,pending,,,
no,no,adv. 不 adj. 没有;不是 n. 不;否决票 abbr. 数字(number);元素锘(nobelium)的符号,2年级上@r56:[these / them / <no> / ear / red],1年级上@r54:[like / yes / <no>],multi-pos-gloss,pending,,,
nose,nose,n. 鼻子;嗅觉;突出的部分;探问 vt. 嗅;用鼻子触 vi. 小心探索着前进;探问,1年级下@r6:[hair / uniform / <nose> / vest / window] || 6年级下@r56:[slow / yesterday / <nose> / careful / all],1年级上@r14:[ear / eye / <nose> / mouth / this] || 3年级上@r33:[face / eye / <nose> / mouth / ear],multi-pos-gloss|multiple-occurrences,pending,,,
nurse,nurse,"vt. 看护,护理;照顾;培养;给...喂奶 vi. 照料,护理;喂奶;当保姆 n. 护士;奶妈,保姆",3年级下@r66:[uncle / hospital / <nurse> / doctor / tooth],4年级上@r95:[red / play football / <nurse> / cook / doctor],multi-pos-gloss,pending,,,
ok,OK|ok,adj. 好的;不错的 adv. 行;很好 int. 好;可以 vt. 对...表示同意 n. 同意,6年级下@r38:[clean / print / <OK> / paper / save],3年级下@r52:[water bottle / know / <ok> / much / welcome],multi-pos-gloss|case-or-form-variant,pending,,,
old,old,"adj. 陈旧的,古老的;年老的 n. 古时",2年级上@r71:[hand / thank / <old> / eight / cake],3年级上@r7:[new / year / <old> / how old / class],multi-pos-gloss,pending,,,
on,on,"adv. 向前地;作用中,行动中;继续着 prep. 向,朝......;关于;在......之上;在......时候 adj. 开着的;发生着的,正在进行中",2年级上@r9:[Wednesday / go / <on> / are / in],1年级下@r5:[desk / blackboard / <on> / under / in],multi-pos-gloss,pending,,,
one,one,pron. 一个人;任何人 adj. 一的;唯一的 n. 一 num. 一;一个,2年级下@r14:[sleep / good / <one> / dad / for],1年级上@r26:[what / it / <one> / two / three],multi-pos-gloss,pending,,,
only,only,"adv. 只,仅仅;不料 adj. 唯一的,仅有的;最合适的 conj. 但是;不过;可是",6年级下@r16:[beautiful / head / <only> / street / garden],5年级上@r47:[a box of crayons / please / <only> / also / saleswoman],multi-pos-gloss,pending,,,
orange,orange,adj. 橙色的;橘色的 n. 橙;橙色;桔子,1年级下@r18:[ice cream / ice / <orange> / jam / apple] || 2年级下@r30:[hello / dear / <orange> / vegetable / evening],1年级上@r49:[pear / banana / <orange> / do / you],multi-pos-gloss|multiple-occurrences,pending,,,
panda,panda,n. 熊猫;猫熊,1年级下@r27:[zoo / tiger / <panda> / snake / elephant] || 5年级上@r61:[winter / fast / <panda> / forget / cousin],5年级上@r30:[animal / elephant / <panda> / horse / cow],multiple-occurrences,pending,,,
paper,paper,n. 纸;论文;文件;报纸 adj. 纸做的 vt. 用纸糊;用纸包装 vi. 贴糊墙纸;发交通违章传票,6年级下@r39:[print / OK / <paper> / save / also],4年级上@r68:[scissors / glue stick / <paper> / use / please],multi-pos-gloss,pending,,,
park,park,n. 公园;[交] 停车场 vt. 停放;放置;寄存 vi. 停放车辆,1年级下@r37:[leaf / king / <park> / gift / queen] || 2年级上@r16:[do / you / <park> / class / we],2年级上@r34:[school / supermarket / <park> / hospital / go] || 4年级上@r60:[come / enjoy / <park> / apple / pen],multi-pos-gloss|multiple-occurrences,pending,,,
pen,pen,n. 钢笔;作家;围栏 vt. 写;关入栏中,1年级上@r27:[bed / box / <pen> / book / coat] || 4年级上@r34:[fine / get / <pen> / kind / brown],4年级上@r62:[park / apple / <pen> / knife / eraser],multi-pos-gloss|multiple-occurrences,pending,,,
pencil,pencil,n. 铅笔;笔状物 vt. 用铅笔写;用眉笔涂 vi. 成铅笔状,3年级上@r69:[borrow / marker / <pencil> / eraser / sixty],1年级上@r4:[book / ruler / <pencil> / schoolbag / teacher] || 4年级上@r78:[hamburger / ruler / <pencil> / schoolbag / shop],multi-pos-gloss|multiple-occurrences,pending,,,
people,people,n. 人;人类;民族;公民 vt. 居住于;使住满人,3年级下@r8:[plant / fun / <people> / favourite / turn],4年级上@r107:[job / sick / <people> / teach / just],multi-pos-gloss,pending,,,
phone,phone,"n. 电话;耳机,听筒 vt. 打电话 vi. 打电话",2年级下@r46:[call / mum / <phone> / where / shirt],4年级上@r74:[Information Centre / Excuse me / <phone> / dad / hamburger],multi-pos-gloss,pending,,,
pig,pig,"n. 猪;猪肉 vi. 生小猪;像猪一样过活 n. 警察(俚语,带有攻击性)",2年级上@r35:[her / how many / <pig> / your / sixteen],5年级上@r33:[horse / cow / <pig> / sheep / bee],multi-pos-gloss,pending,,,
plane,plane,"n. 飞机;平面;程度,水平 adj. 平的;平面的 vt. 刨平;用刨子刨;掠过水面 vi. 刨;乘飞机旅行;翱翔",4年级下@r9:[sometimes / model / <plane> / wrong / headache],1年级下@r16:[near / behind / <plane> / ball / doll],multi-pos-gloss,pending,,,
plant,plant,"n. 工厂,车间;植物;设备;庄稼 vt. 种植;培养;栽培;安置 vi. 种植",3年级下@r6:[women / too / <plant> / fun / people] || 5年级下@r17:[follow / listen / <plant> / up / carry],5年级下@r38:[twenty-fifth / 25th / <plant> / make a poster / celebrate],multi-pos-gloss|multiple-occurrences,pending,,,
please,please,"int. 请(礼貌用语) vt. 使喜欢;使高兴,使满意 vi. 讨人喜欢;令人高兴",6年级上@r11:[let / glasses / <please> / problem / young],4年级上@r70:[paper / use / <please> / find / Information Centre] || 5年级上@r46:[pencil box / a box of crayons / <please> / only / also],multi-pos-gloss|multiple-occurrences,pending,,,
quiet,quiet,n. 安静;和平 adj. 安静的;安定的;不动的;温顺的 vt. 使平息;安慰 vi. 平静下来,4年级下@r5:[pop / keep / <quiet> / noisy / sometimes],5年级上@r5:[careless / polite / <quiet> / cute / friendly],multi-pos-gloss,pending,,,
rabbit,rabbit,"n. 兔子,野兔 vt. 让...见鬼去吧 vi. 猎兔",1年级下@r45:[egg / cow / <rabbit> / kitten / map] || 6年级上@r60:[animal / rat / <rabbit> / decide / order],3年级上@r55:[duck / chicken / <rabbit> / pet / snake],multi-pos-gloss|multiple-occurrences,pending,,,
race,race,"n. 属,种;种族,人种;家庭,门第 vt. 使参加比赛;和...竞赛;使急走,使全速行进 vi. 比速度,参加竞赛;全速行进",3年级上@r38:[sport / run / <race> / high / jump],6年级上@r68:[ill / win / <race> / find / cry],multi-pos-gloss,pending,,,
red,red,"n. 红色,红颜料;赤字 adj. 红色的;红肿的,充血的",2年级上@r58:[no / ear / <red> / eye / hair],1年级上@r43:[yellow / blue / <red> / green / colour] || 4年级上@r93:[safety rule / green / <red> / play football / nurse],multi-pos-gloss|multiple-occurrences,pending,,,
rice,rice,n. 稻;米饭 vt. 把...捣成米糊状,2年级下@r22:[an / fish / <rice> / noodle / down],1年级下@r25:[sure / sorry / <rice> / noodles / vegetable] || 3年级上@r47:[cola / buy / <rice> / noodles / vegetables],multi-pos-gloss|multiple-occurrences,pending,,,
room,room,"n. 房间;空间;余地;机会;房间里所有的人 vt. 为...提供住处;租房,合住;投宿,住宿;留|n. 房间;空间;余地;机会;房间里所有的人 vt. 为...提供住处;租房,合住;投宿,住宿;留...住宿 vi. 居住;住宿",2年级下@r33:[vegetable / evening / <room> / love / bed],3年级下@r20:[third / floor / <room> / our / they],multi-pos-gloss,pending,,,
ruler,ruler,"n. 尺;统治者;[测] 划线板,划线的人",3年级上@r72:[eraser / sixty / <ruler> / forty / blackboard],1年级上@r3:[book / <ruler> / pencil / schoolbag] || 4年级上@r77:[dad / hamburger / <ruler> / pencil / schoolbag],multiple-occurrences,pending,,,
run,run,"n. 奔跑;赛跑;趋向;奔跑的路程 vt. 管理,经营;运行;参赛 vi. 经营;奔跑;运转",3年级上@r37:[nineteenth / sport / <run> / race / high],3年级下@r72:[everyone / children / <run> / home / bedroom],multi-pos-gloss,pending,,,
sad,sad,"adj. 难过的;悲哀的,令人悲痛的;凄惨的,阴郁的(形容颜色)",4年级上@r6:[why / book / <sad> / surprised / look for],5年级下@r82:[delicious / felt happy / <sad> / left / French fries] || 6年级上@r63:[angry / proud / <sad> / excited / happy],multiple-occurrences,pending,,,
safe,safe,n. 保险箱;冷藏室;纱橱 adj. 安全的;可靠的;平安的,4年级下@r45:[boat / sound / <safe> / dangerous / front],4年级上@r88:[sidewalk / wait for / <safe> / stop / street],multi-pos-gloss,pending,,,
saturday,Saturday,n. 星期六,2年级上@r23:[Sunday / zoo / <Saturday> / film / grandma],2年级下@r55:[Thursday / Friday / <Saturday> / today] || 4年级上@r35:[hope / so / <Saturday> / near / day],multiple-occurrences,pending,,,
say,say,vt. 讲;说明;例如;声称;假设;指明 vi. 讲;表示;念;假定;背诵,4年级上@r64:[farmer / lake / <say> / air / live],5年级下@r51:[mail a present / make a video call / <say> / make a card / everywhere],multi-pos-gloss,pending,,,
school,school,n. 学校;学院;学派;鱼群 vt. 教育,4年级上@r19:[really / bring / <school> / bad / cold],2年级上@r32:[bookshop / zoo / <school> / supermarket / park] || 4年级下@r23:[hospital / bookshop / <school> / supermarket / ball],multi-pos-gloss|multiple-occurrences,pending,,,
schoolbag,schoolbag,n. 书包,2年级下@r55:[jacket / that / <schoolbag> / shorts / not],1年级上@r5:[ruler / pencil / <schoolbag> / teacher / I] || 4年级上@r79:[ruler / pencil / <schoolbag> / shop / climb on the window ledge],multiple-occurrences,pending,,,
season,season,n. 时期;季节;赛季 vt. 给...调味;使适应 vi. 变得成熟;变干燥,6年级下@r52:[weekend / clear / <season> / Friday / slow],2年级下@r27:[cold / favourite / <season> / eleven / twelve],multi-pos-gloss,pending,,,
second,second,num. 第二 n. 秒;第二名;瞬间;二等品 adj. 第二的;次要的;附加的 vt. 支持 adv. 第二;其次;居第二位,3年级上@r7:[first / September / <second> / third / fourth],3年级下@r17:[playground / first / <second> / third / floor],multi-pos-gloss,pending,,,
seven,seven,"num. 七个,七 n. 七个,七 adj. 七的;七个的",5年级下@r41:[lovely / kid / <seven> / niece / nephew],1年级上@r32:[five / six / <seven> / eight / nine],multi-pos-gloss,pending,,,
she,she,n. 女人;雌性动物 pron. 她(主格);它(用来指雌性动物或国家、船舶、地球、月亮等),2年级下@r65:[car / work / <she> / bike / he],2年级上@r10:[who / he / <she> / classmate / friend],multi-pos-gloss,pending,,,
