MatchKey,DisplayForms,Definitions,OccurrenceCount,Books,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview
eighteen,eighteen,"n. 十八,十八个 num. 十八 adj. 十八个的,十八的",1,5年级下,no-existing-match,,,,new-identity-candidate,yes
eighteenth,eighteenth,"num. 第十八;十八分之一 adj. 第十八的,第十八个的;十八分之一的",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
eighth,eighth,num. 第八;八分之一 adj. 第八的;八分之一的,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
eighty,eighty,"num. 八十 n. 八十;八十岁;八十年代 adj. 八十的,八十个的;八十岁的",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
elephant,elephant,n. 象;大号图画纸,2,1年级下|2年级上,exact-single,KV000543,elephant,大象,reuse-candidate,yes
eleven,eleven,num. 十一;十一个 n. 十一;十一个 adj. 十一的;十一个的,1,2年级上,exact-single,KV000179,eleven,十一；十一个,reuse-candidate,yes
eleventh,eleventh,num. 第十一;十一分之一 n. 第十一;十一分之一 adj. 第十一的;十一分之一的,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
else,else,adj. 别的;其他的 adv. 其他;否则;另外,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
email,email,n. 电子信函 vt. 给...发电子邮件,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
engineer,engineer,n. 工程师;工兵;火车司机 vt. 设计;策划;精明地处理 vi. 设计;建造,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
english,English,n. 英语;英国人;英文;英格兰人 adj. 英国人的;英国的;英文的 vt. 把...译成英语,1,5年级上,exact-single,KV000283,English,英语,reuse-candidate,yes
enjoy,enjoy,"vt. 欣赏,享受;喜爱;使过得快活",1,5年级下,exact-single,KV000395,enjoy,喜欢；享受,reuse-candidate,yes
enough,enough,"n. 很多;充足 adj. 充足的 adv. 足够地,充足地 int. 够了!",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
eraser,eraser,n. 橡皮;擦除器;[计] 清除器,1,3年级上,exact-single,KV000398,eraser,橡皮,reuse-candidate,yes
evening,evening,n. 晚上;傍晚;(联欢性的)晚会;后期 adj. 在晚上的;为晚上的;晚上用的 int. 晚上好(等于good evening),1,2年级下,exact-single,KV000366,evening,晚上,reuse-candidate,yes
every,every,"adj. 每一的,每个的;每隔...的",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
example,example,n. 例子;榜样 vt. 作为...的例子;为...做出榜样 vi. 举例,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
excited,excited,v. 激动;唤起(excite的过去分词) adj. 兴奋的;激动的;活跃的,1,5年级下,exact-single,KV000732,excited,兴奋的；激动的,reuse-candidate,yes
exciting,exciting,adj. 令人兴奋的;使人激动的 v. 激动;刺激(excite的ing形式);唤起,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
excuse,excuse,n. 借口;理由 vt. 原谅;为...申辩;给...免去 vi. 作为借口;请求宽恕;表示宽恕,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
exercise,exercise,n. 运动;练习;运用;操练;礼拜;典礼 vt. 锻炼;练习;使用;使忙碌;使惊恐 vi. 运动;练习,1,5年级下,exact-single,KV000582,exercise,锻炼；运动,reuse-candidate,yes
eye,eye,"n. 眼睛;视力;眼光;见解,观点 vt. 注视,看",2,1年级上|2年级上,exact-single,KV000012,eye,眼睛,reuse-candidate,yes
face,face,n. 脸;表面;面子;面容;外观;威信 vi. 向;朝 vt. 面对;面向;承认;抹盖,1,6年级下,exact-single,KV000010,face,脸；面部,reuse-candidate,yes
family,family,n. 家庭;亲属;家族;子女;[生]科;语族;[化]族 adj. 家庭的;家族的;适合于全家的,1,5年级上,exact-single,KV000312,family,家庭；家人,reuse-candidate,yes
famous,famous,"adj. 著名的;极好的,非常令人满意的",1,5年级下,exact-single,KV000686,famous,著名的,reuse-candidate,yes
fan,fan,n. 迷;风扇;爱好者 vt. 煽动;刺激;吹拂 vi. 成扇形散开;飘动,1,6年级下,exact-multiple,KV000723|KV000900,fan|fan,扇子|风扇,identity-review,yes
far,far,n. 远方 adj. 远的;久远的 adv. 很;遥远地;久远地;到很远的距离;到很深的程度,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
farm,farm,"n. 农场;农家;畜牧场 vt. 养殖;耕种;佃出(土地) vi. 种田,务农;经营农场",1,6年级上,exact-single,KV000550,farm,农场,reuse-candidate,yes
farmer,farmer,"n. 农夫,农民",1,4年级上,exact-single,KV000429,farmer,农民,reuse-candidate,yes
fast,fast,"n. 斋戒;绝食 adj. 快速的,迅速的;紧的,稳固的 adv. 迅速地;紧紧地;彻底地 vi. 禁食,斋戒",1,5年级上,exact-single,KV000551,fast,快的；快速地,reuse-candidate,yes
father,father,"n. 父亲,爸爸;神父;祖先;前辈 vt. 发明,创立;当...的父亲",1,3年级下,exact-single,KV000099,father,爸爸；父亲,reuse-candidate,yes
favourite,favourite,n. 特别喜爱的人(或物) adj. 特别受喜爱的,1,3年级下,exact-single,KV000177,favourite,最喜欢的,reuse-candidate,yes
february,February,n. 二月,1,3年级上,exact-single,KV000267,February,二月,reuse-candidate,yes
feed,feed,n. 饲料;饲养;(动物或婴儿的)一餐 vt. 喂养;供给;放牧;抚养(家庭等);靠...为生 vi. 吃东西;流入,1,6年级下,exact-single,KV000887,feed,给食物；饲养,reuse-candidate,yes
fever,fever,"n. 发烧,发热;狂热 vt. 使发烧;使狂热;使患热病 vi. 发烧;狂热;患热病",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
fifteenth,fifteenth,adj. 第十五的;十五分之一的 num. 第十五,1,3年级上,exact-single,KV000664,fifteenth,第十五,reuse-candidate,yes
fifth,fifth,num. 第五 n. 第五;五分之一 adj. 第五的;五分之一的,1,3年级上,exact-single,KV000602,fifth,第五,reuse-candidate,yes
fifty,fifty,n. 五十;五十个;编号为50的东西 adj. 五十的;五十个的;众多的,1,2年级下,exact-single,KV000184,fifty,五十,reuse-candidate,yes
film,film,n. 电影;薄膜;胶卷;轻烟 vt. 在...上覆以薄膜;把...拍成电影 vi. 摄制电影;生薄膜;变得朦胧,1,2年级上,exact-single,KV000390,film,电影,reuse-candidate,yes
find,find,"n. 发现 vi. 裁决 vt. 查找,找到;发现;认为;感到;获得",1,2年级下,exact-single,KV000405,find,找到；发现,reuse-candidate,yes
fine,fine,"n. 罚款 adj. 好的;优良的;细小的,精美的;健康的;晴朗的 vt. 罚款;澄清 adv. 很好地;精巧地",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
finish,finish,"n. 结束;完美;回味(葡萄酒) vt. 完成;结束;用完 vi. 结束,终止;终结",1,5年级上,no-existing-match,,,,new-identity-candidate,yes
first,first,num. 第一 n. 第一;开始;冠军 adj. 第一的;基本的;最早的 adv. 第一;首先;优先;宁愿,1,3年级上,exact-single,KV000279,first,第一；首先,reuse-candidate,yes
fish,fish,"n. 鱼,鱼类 vt. 钓鱼,捕鱼;搜寻 vi. 捕鱼,钓鱼;用钩捞取",2,1年级上|2年级下,exact-single,KV000080,fish,鱼；鱼肉,reuse-candidate,yes
five,five,"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",1,2年级下,exact-single,KV000029,five,五；五个,reuse-candidate,yes
fix,fix,n. 困境;方位;贿赂 vt. 使固定;修理;安装;准备 vi. 固定;注视,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
flag,flag,n. 标志;旗子 vt. 标记;插旗 vi. 标记;衰退;枯萎,2,1年级下|3年级下,no-existing-match,,,,new-identity-candidate,yes
floor,floor,"n. 地板,地面;楼层;基底;议员席 vt. 铺地板;打倒,击倒;(被困难)难倒",1,4年级下,exact-single,KV000298,floor,楼层；地板,reuse-candidate,yes
flower,flower,"n. 花;精华;开花植物 vt. 使开花;用花装饰 vi. 成熟,发育;开花;繁荣;旺盛",1,6年级下,exact-single,KV000137,flower,花,reuse-candidate,yes
flu,flu,n. 流感,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
fly,fly,n. 飞行;苍蝇;两翼昆虫 adj. 敏捷的 vi. 飞;驾驶飞机;飘扬 vt. 飞行;飞越;使飘扬,1,3年级下,exact-single,KV000831,fly,操纵（飞行器等）；飞,reuse-candidate,yes
follow,follow,"n. 跟随;追随 vi. 跟随;接着 vt. 跟随;遵循;追求;密切注意,注视;注意;倾听",1,5年级下,exact-single,KV000861,follow,听从；遵循,reuse-candidate,yes
food,food,n. 食物;养料,1,3年级下,exact-single,KV000893,food,菜肴；食物,reuse-candidate,yes
foot,foot,n. 脚;英尺;步调;末尾 vt. 支付;给......换底 vi. 步行;跳舞;总计,1,1年级上,exact-single,KV000221,foot,脚,reuse-candidate,yes
football,football,"n. 足球,橄榄球 vi. 踢足球;打橄榄球",2,3年级上|6年级上,exact-single,KV000815,football,足球运动,reuse-candidate,yes
for,for,"prep. 为,为了;因为;给;对于;至于;适合于 conj. 因为",1,2年级下,exact-single,KV000150,for,给；为了,reuse-candidate,yes
forest,forest,"n. 森林 vt. 植树于,使成为森林",1,5年级下,exact-single,KV000693,forest,森林,reuse-candidate,yes
forget,forget,vi. 忘记 vt. 忘记;忽略,1,5年级上,exact-single,KV000532,forget,忘记,reuse-candidate,yes
forty,forty,n. 四十 adj. 四十的;四十个的,1,3年级上,exact-single,KV000183,forty,四十,reuse-candidate,yes
four,four,num. 四;四个 adj. 四的;四个的,1,2年级上,exact-single,KV000028,four,四；四个,reuse-candidate,yes
fourteenth,fourteenth,num. 第十四 n. 第十四;月的第十四日;十四分之一 adj. 第十四的;第十四个的,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
fourth,fourth,"num. 第四 n. 第四,月的第四日;四分之一 adj. 第四的,第四个的;四分之一的",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
fox,fox,n. 狐狸;狡猾的人 vt. 欺骗;使变酸 vi. 假装;耍狡猾手段,1,1年级下,no-existing-match,,,,new-identity-candidate,yes
friday,Friday,n. 星期五,1,6年级下,exact-single,KV000205,Friday,星期五,reuse-candidate,yes
fridge,fridge,n. 电冰箱,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
friend,friend,n. 朋友;助手;赞助者,1,5年级上,exact-single,KV000109,friend,朋友,reuse-candidate,yes
friendly,friendly,"adj. 友好的;亲切的;支持的;融洽的,和睦的 adv. 友善地;温和地",1,6年级下,exact-single,KV000523,friendly,友好的,reuse-candidate,yes
from,from,"prep. 来自,从;由于;今后",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
front,front,n. 前面;正面;前线 adj. 前面的;正面的 vt. 面对;朝向;对付 vi. 朝向 adv. 在前面;向前,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
fruit,fruit,n. 水果;产物 vt. 使......结果实 vi. 结果实,1,5年级上,exact-single,KV000235,fruit,水果,reuse-candidate,yes
fun,fun,n. 乐趣;玩笑;有趣的人或事 adj. 供娱乐用的 vi. 开玩笑,1,3年级下,exact-single,KV000362,fun,乐趣；有趣,reuse-candidate,yes
garden,garden,n. 花园;菜园 vt. 栽培花木 vi. 从事园艺;在园中种植,1,6年级下,exact-single,KV000386,garden,花园,reuse-candidate,yes
gate,gate,n. 大门;出入口;门道 vt. 给...装大门,1,1年级上,exact-single,KV000388,gate,大门,reuse-candidate,yes
get,get,n. 生殖;幼兽 vi. 成为;变得;到达 vt. 使得,1,4年级上,exact-single,KV000453,get,得到；取得,reuse-candidate,yes
get well,get well,na. 复原,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
gift,gift,n. 礼物;天赋;赠品 vt. 赋予;向...赠送,2,1年级下|3年级上,no-existing-match,,,,new-identity-candidate,yes
girl,girl,"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",2,1年级上|3年级上,exact-single,KV000111,girl,女孩,reuse-candidate,yes
glad,glad,adj. 高兴的;乐意的;令人高兴的;灿烂美丽的 vt. 使高兴,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
glass,glass,n. 玻璃;玻璃制品;镜子 vt. 反映;给某物加玻璃 vi. 成玻璃状,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
glasses,glasses,n. [轻] 眼镜;玻璃(glass的复数形式);双筒望远镜 v. 把...装入玻璃容器内;给...装上玻璃(glass的第三人称单数形式),1,6年级上,no-existing-match,,,,new-identity-candidate,yes
go,go,n. 去;进行;尝试 vi. 走;达到;运转;趋于 vt. 忍受;出产;以...打赌 [复数 goes 第三人称单数 goes 过去式 went 过去分词 gone 现在分词 going],1,2年级上,exact-single,KV000133,go,去,reuse-candidate,yes
gold,gold,"n. 金,黄金;金色;金币 adj. 金的,金制的;金色的",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
golf,golf,n. 高尔夫球;高尔夫球运动 vi. 打高尔夫球,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
good,good,n. 好处;善行;慷慨的行为 adj. 好的;优良的;愉快的;虔诚的 adv. 好,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
goodbye,goodbye,int. 再见 放弃 告别,1,6年级上,no-existing-match,,,,new-identity-candidate,yes
grandfather,grandfather,n. 祖父;始祖 vt. 不受新规定限制,1,2年级上,exact-single,KV000104,grandfather,爷爷；外公,reuse-candidate,yes
grandma,grandma,n. 奶奶;外婆,1,2年级上,no-existing-match,,,,new-identity-candidate,yes
grandmother,grandmother,n. 祖母;女祖先 vt. 当...的祖母 vi. 当祖母,1,2年级上,exact-single,KV000103,grandmother,奶奶；外婆,reuse-candidate,yes
grandpa,grandpa,n. 爷爷;外公,1,2年级上,no-existing-match,,,,new-identity-candidate,yes
grapes,grapes,n. [园艺] 葡萄(grape的复数),1,1年级下,no-existing-match,,,,new-identity-candidate,yes
grass,grass,"n. 草;草地,草坪 vt. 放牧;使......长满草;使......吃草 vi. 长草",1,6年级下,exact-single,KV000135,grass,草,reuse-candidate,yes
great,great,"n. 大师;大人物;伟人们 adj. 伟大的,重大的;极好的,好的;主要的",1,3年级下,exact-single,KV000432,great,很棒的；伟大的,reuse-candidate,yes
green,green,n. 绿色;青春 adj. 绿色的;青春的 vt. 使...变绿色 vi. 变绿色,1,2年级下,exact-single,KV000043,green,绿色；绿色的,reuse-candidate,yes
grey,grey,n. 灰色 adj. 灰色的;灰白的 vt. 使变成灰色;使变老 vi. 变成灰色;老化,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
ground,ground,n. 地面;土地;范围;战场;根据 v. 研磨(grind的过去分词);压迫 adj. 土地的;地面上的;磨碎的;磨过的 vt. 使接触地面;打基础;使搁浅 vi. 着陆;搁浅,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
gym,gym,n. 健身房;体育;体育馆,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
hair,hair,n. 头发;毛发;些微 adj. 毛发的;护理毛发的;用毛发制成的 vt. 除去...的毛发 vi. 生长毛发;形成毛状纤维,2,1年级下|2年级上,exact-single,KV000217,hair,头发,reuse-candidate,yes
half,half,n. 一半;半场;半学年 adj. 一半的;不完全的;半途的 adv. 一半地;部分地,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
hamburger,hamburger,"n. 汉堡包,火腿汉堡;牛肉饼,肉饼;碎牛肉",1,4年级上,exact-single,KV000410,hamburger,汉堡包,reuse-candidate,yes
hand,hand,"n. 手,手艺;帮助;指针;插手 vt. 传递,交给;支持;搀扶",1,2年级上,exact-single,KV000219,hand,手,reuse-candidate,yes
happen,happen,vi. 发生;碰巧;偶然遇到,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
happened,happened,"v. 发生(happen的过去式,过去分词)",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
hard,hard,adj. 努力的;硬的;困难的;辛苦的;确实的;严厉的;猛烈的;冷酷无情的 adv. 努力地;困难地;辛苦地;接近地;猛烈地;牢固地,1,3年级下,exact-single,KV000860,hard,努力地；费力地,reuse-candidate,yes
has,has,"v. 有,吃,得到,从事,允许,雇用,享有(have的第三人称单数);(亲属关系中)接受;拿;买到",1,4年级下,exact-single,KV000541,has,有（have的第三人称单数）,reuse-candidate,yes
have,have,aux. 已经 vt. 有;让;拿;从事;允许,1,5年级下,exact-single,KV000007,have,有,reuse-candidate,yes
he,he,"n. 男孩,男人;它(雄性动物) pron. 他",1,2年级下,exact-single,KV000106,he,他,reuse-candidate,yes
head,head,n. 头;头痛;上端;最前的部分;理解力 adj. 头的;主要的;在顶端的 vt. 前进;用头顶;作为...的首领;站在...的前头;给...加标题 vi. 出发;成头状物;船驶往,2,1年级下|6年级下,exact-single,KV000216,head,头；头部,reuse-candidate,yes
headache,headache,n. 头痛;麻烦;令人头痛之事,1,4年级下,exact-single,KV000586,headache,头痛,reuse-candidate,yes
healthy,healthy,"adj. 健康的,健全的;有益于健康的",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
hear,hear,"vi. 听;听见 vt. 听到,听;听说;审理",1,3年级下,exact-single,KV000759,hear,听见；听到,reuse-candidate,yes
heavy,heavy,"n. 重物;严肃角色 adj. 沉重的;繁重的,巨大的;拥挤的;阴沉的 adv. 大量地;笨重地",1,6年级下,no-existing-match,,,,new-identity-candidate,yes
hello,hello,"n. 表示问候, 惊奇或唤起注意时的用语 int. 喂;哈罗",1,2年级下,no-existing-match,,,,new-identity-candidate,yes
her,her,pron. 她(she的宾格);她的(she的所有格);她(指某个国家;一艘船),1,2年级上,exact-single,KV000117,her,她的,reuse-candidate,yes
hi,hi,int. 嗨!(表示问候或用以唤起注意),1,3年级上,no-existing-match,,,,new-identity-candidate,yes
high,high,n. 高水平;天空;由麻醉品引起的快感;高压地带 adj. 高的;高级的;崇高的;高音调的 adv. 高;奢侈地,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
hill,hill,n. 小山;丘陵;斜坡;山冈,1,6年级上,exact-single,KV000140,hill,小山,reuse-candidate,yes
him,him,pron. 他(宾格),1,5年级上,no-existing-match,,,,new-identity-candidate,yes
his,his,pron. 他的,1,2年级上,exact-single,KV000115,his,他的,reuse-candidate,yes
history,history,"n. 历史,历史学;历史记录;来历",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
hobby,hobby,n. 嗜好;业余爱好,1,6年级上,exact-single,KV000494,hobby,爱好,reuse-candidate,yes
hold,hold,"n. 控制;保留 vi. 支持;有效;持续 vt. 持有;拥有;保存;拘留;约束或控制 又作“Hold住”使用,中英混用词汇,表示轻松掌控全局。 [ 过去式 held 过去分词 held或holden 现在分词 holding ]",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
holiday,holiday,n. 假日;节日;休息日 vi. 外出度假,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
home,home,"n. 家,住宅;产地;家乡;避难所 adj. 国内的,家庭的;有效的 vt. 归巢,回家 adv. 在家,回家;深入地",1,2年级下,exact-single,KV000335,home,家；在家,reuse-candidate,yes
homework,homework,"n. 家庭作业,课外作业",1,5年级上,exact-single,KV000853,homework,家庭作业,reuse-candidate,yes
horse,horse,n. 马;骑兵;脚架;海洛因 vt. 使骑马;系马于;捉弄 vi. 骑马;作弄人,1,6年级上,exact-single,KV000545,horse,马,reuse-candidate,yes
hospital,hospital,n. 医院,1,3年级下,exact-single,KV000132,hospital,医院,reuse-candidate,yes
hot,hot,adj. 热的;辣的;热情的;激动的;紧迫的 vt. 增加;给...加温 adv. 热;紧迫地 vi. 变热,1,3年级上,exact-single,KV000173,hot,热的,reuse-candidate,yes
hotel,hotel,"n. 旅馆,饭店;客栈 vt. 使...在饭店下榻 vi. 进行旅馆式办公",1,6年级上,exact-single,KV000461,hotel,酒店；旅馆,reuse-candidate,yes
hour,hour,n. 小时;钟头;课时;...点钟,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
house,house,n. 住宅;家庭;机构;议会;某种用途的建筑物 vt. 覆盖;给...房子住;把...储藏在房内 vi. 住,2,1年级上|3年级上,exact-single,KV000369,house,房子；住宅,reuse-candidate,yes
housework,housework,n. 家务事,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
how,how,adv. 如何;多少;多么 n. 方法;方式 conj. 如何,1,2年级下,exact-single,KV000035,how,怎样；多少,reuse-candidate,yes
how many,how many,na. 多少,1,2年级上,no-existing-match,,,,new-identity-candidate,yes
how much,how much,conj. 多少,1,4年级上,exact-single,KV000564,how much,多少钱,reuse-candidate,yes
how old ...?,How old ...?,conj. 多少岁,1,3年级上,format-alias,KV000210,how old,几岁；多大,identity-review,yes
hundred,hundred,num. 百;百个 n. 一百;许多 adj. 一百的;许多的,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
hungry,hungry,adj. 饥饿的;渴望的;荒年的;不毛的,1,2年级下,exact-single,KV000083,hungry,饿的；饥饿的,reuse-candidate,yes
hurt,hurt,n. 痛苦;危害;痛苦的原因 vt. 使受伤;损害;使疼痛;使痛心 adj. 受伤的;痛苦的;受损的 vi. 感到疼痛;有坏处;带来痛苦,1,4年级下,exact-single,KV000224,hurt,疼；受伤,reuse-candidate,yes
hut,hut,n. 小屋;临时营房 vt. 使住在小屋中;驻扎 vi. 住在小屋中;驻扎,1,1年级上,no-existing-match,,,,new-identity-candidate,yes
i,I,n. 碘元素;英语字母I pron. 我,1,2年级上,exact-single,KV000006,I,我,reuse-candidate,yes
ice,ice,n. 冰;冰淇淋;矜持;(俚)钻石 adj. 冰的 vt. 冰镇;结冰 vi. 结冰,2,1年级下|4年级上,no-existing-match,,,,new-identity-candidate,yes
ice cream,ice cream,n. 【食】冰淇淋,2,1年级下|2年级下,no-existing-match,,,,new-identity-candidate,yes
idea,idea,n. 想法;主意;概念,1,6年级下,exact-single,KV000783,idea,想法；主意,reuse-candidate,yes
ill,ill,n. 疾病;不幸 adj. 生病的;坏的;邪恶的;不吉利的 adv. 不利地;恶劣地;几乎不,1,6年级下,exact-single,KV000733,ill,生病的,reuse-candidate,yes
in,in,prep. 按照(表示方式);从事于;在...之内 n. 执政者;门路;知情者 adj. 在里面的;时髦的 adv. 进入;当选;(服装等)时髦;在屋里,1,2年级上,exact-single,KV000059,in,在……里面,reuse-candidate,yes
interesting,interesting,"adj. 有趣的;引起兴趣的,令人关注的",1,4年级上,exact-single,KV000350,interesting,有趣的,reuse-candidate,yes
invite,invite,"n. 邀请 vt. 邀请,招待;招致",1,6年级下,no-existing-match,,,,new-identity-candidate,yes
is,is,v. 是(be的三单形式) n. 存在,1,2年级上,exact-single,KV000016,is,是,reuse-candidate,yes
it,it,abbr. 信息技术information technology abbr. 意大利Italy;意大利的Italian,1,2年级上,exact-single,KV000024,it,它,reuse-candidate,yes
its,its,pron. 它的,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
jacket,jacket,"n. 羽绒滑雪衫;西装短外套;短上衣,夹克;土豆皮;书籍的护封;文件套,公文夹 vt. 给...穿夹克;给...装护套;给...包上护封;〈口〉打",1,2年级下,exact-single,KV000258,jacket,夹克衫,reuse-candidate,yes
jam,jam,"n. 果酱;拥挤;困境;扣篮 vt. 使堵塞;挤进,使塞满;混杂;压碎 vi. 堵塞;轧住",1,1年级下,no-existing-match,,,,new-identity-candidate,yes
january,January,n. 一月,1,3年级上,exact-single,KV000266,January,一月,reuse-candidate,yes
job,job,n. 工作;职业 vt. 承包;代客买卖 vi. 做零工,1,5年级下,exact-single,KV000433,job,工作；职业,reuse-candidate,yes
join,join,vt. 参加;结合;连接 vi. 加入;参加;结合 n. 结合;连接;接合点,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
juice,juice,"n. (水果)汁,液;果汁",2,1年级下|5年级上,exact-single,KV000086,juice,果汁,reuse-candidate,yes
july,July,n. 七月,1,3年级上,exact-single,KV000272,July,七月,reuse-candidate,yes
jump,jump,n. 跳跃;暴涨;惊跳 vt. 跳跃;使跳跃;跳过;突升 vi. 跳跃;暴涨;猛增,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
june,June,"n. 六月;琼(人名,来源于拉丁语,含义是“年轻气盛的六月”)",1,3年级上,exact-single,KV000271,June,六月,reuse-candidate,yes
keep,keep,vt. 保持;经营;遵守;饲养 vi. 保持;继续不断 n. 保持;生计;生活费,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
key,key,n. (打字机等的)键;关键;钥匙 vt. 键入;锁上;调节...的音调;提供线索 vi. 使用钥匙 adj. 关键的,2,1年级上|4年级下,no-existing-match,,,,new-identity-candidate,yes
kid,kid,n. 小孩;小山羊 vt. 欺骗;取笑;戏弄 vi. 欺骗;取笑;戏弄 adj. 小山羊皮制的;较年幼的,1,5年级下,exact-single,KV000864,kid,小孩,reuse-candidate,yes
kind,kind,n. 种类;性质 adj. 和蔼的;宽容的;令人感激的,2,4年级上,exact-multiple,KV000718|KV000810,kind|kind,种类；类型|友好的,identity-review,yes
king,king,"n. 国王;最有势力者;王棋 vi. 统治;做国王 vt. 立...为王 adj. 主要的,最重要的,最大的",1,1年级下,exact-single,KV000472,king,国王,reuse-candidate,yes
kitchen,kitchen,n. 厨房;炊具;炊事人员,1,2年级下,exact-single,KV000341,kitchen,厨房,reuse-candidate,yes
kite,kite,n. 风筝 vi. 使用空头支票;像风筝一样飞;轻快地移动 vt. 骗钱;涂改(支票),2,1年级上|3年级下,exact-single,KV000832,kite,风筝,reuse-candidate,yes
kitten,kitten,n. 小猫;小动物 vi. 产小猫,1,1年级下,no-existing-match,,,,new-identity-candidate,yes
knee,knee,"n. 膝盖,膝 vt. 用膝盖碰",1,1年级上,no-existing-match,,,,new-identity-candidate,yes
know,know,vt. 知道;认识;懂得 vi. 了解;熟悉;确信,1,3年级上,exact-single,KV000319,know,知道；认识,reuse-candidate,yes
labour,labour,n. (英国)工党,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
lake,lake,n. 湖;深红色颜料;胭脂红 vt. (使)血球溶解 vi. (使)血球溶解,2,1年级上|4年级上,exact-single,KV000139,lake,湖,reuse-candidate,yes
large,large,adj. 大的;多数的;广博的 adv. 大大地;夸大地 n. 大,1,6年级下,exact-single,KV000877,large,大型号的,reuse-candidate,yes
late,late,adj. 晚的;迟的;已故的;最近的 adv. 晚;迟;最近;在晚期,1,5年级上,exact-single,KV000353,late,迟到的；晚的,reuse-candidate,yes
leaf,leaf,"n. 叶子;(书籍等的)一张;扇页 vi. 生叶;翻书页 vt. 翻...的页,匆匆翻阅",2,1年级下|5年级上,exact-single,KV000838,leaf,叶（复数 leaves）,reuse-candidate,yes
left,left,adj. 左边的;左派的;剩下的 adv. 在左面 n. 左边;左派;激进分子 v. 离开(leave的过去式),1,4年级下,exact-single,KV000654,left,离开（leave的过去式）,reuse-candidate,yes
leg,leg,n. 腿;支柱,1,2年级上,exact-single,KV000220,leg,腿,reuse-candidate,yes
lesson,lesson,n. 教训;课 vt. 教训;上课,1,3年级下,no-existing-match,,,,new-identity-candidate,yes
let,let,"vt. 允许,让;出租;假设;妨碍 vi. 出租;被承包 n. 障碍;出租屋",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
library,library,"n. 图书馆,藏书室;文库",1,4年级下,exact-single,KV000293,library,图书馆,reuse-candidate,yes
light,light,n. 光;光线;灯;打火机;领悟;浅色;天窗 adj. 轻的;浅色的;明亮的;轻松的;容易的;清淡的 vi. 点着;变亮;着火 vt. 照亮;点燃;着火 adv. 轻地;清楚地;轻便地,1,4年级上,exact-single,KV000062,light,灯,reuse-candidate,yes
like,like,vt. 喜欢;想;愿意 vi. 喜欢;希望 prep. 像;如同 adj. 同样的;相似的 n. 爱好;同样的人或物 adv. 可能 conj. 好像,2,3年级上|6年级上,exact-single,KV000051,like,喜欢,reuse-candidate,yes
lion,lion,n. 狮子;名人;勇猛的人;社交场合的名流,1,1年级下,no-existing-match,,,,new-identity-candidate,yes
