ExpressionID,FunctionLabel,Prompt,PromptHint,Target,Pattern,MeaningUsage,Examples,LearnerLevel,LearningOrder,Sources,SourceBooks
KE000120,提问,想询问过去做过什么的问句,,What did you do?,What did you do?,询问过去做过什么的问句,"What did you do, Leo? | What did you do there?",4,000120,renjiao_start3,renjiao_start3::grade6-lower|renjiao_start3::grade6-upper
KE000121,讲过去的事,想说自己过去什么时候做了什么,past verb phrase: visited the Gingerbread House · past time: last Saturday,I visited the Gingerbread House last Saturday.,I [past verb phrase] [past time].,用来讲自己过去做过的事情。,"I visited the ""Gingerbread House"" last Saturday.",4,000121,renjiao_start3,renjiao_start3::grade6-upper
KE000122,提问,想询问过去某时去了哪里,past time: over the summer holidays,Where did you go over the summer holidays?,Where did you go [past time]?,询问过去某时去了哪里,"Where did you go over the summer holidays, Binbin? | Where did you go?",4,000122,renjiao_start3,renjiao_start3::grade6-lower|renjiao_start3::grade6-upper
KE000123,陈述,想说明过去旅行目的地及同行人的表达,place: Xi'an · people: my family,I went to Xi'an with my family.,I went to [place] with [people].,说明过去旅行目的地及同行人的表达,I went to Xi'an with my family.,4,000123,renjiao_start3,renjiao_start3::grade6-upper
KE000124,讲过去的事,想说过去去做了什么,verb phrase: see the Terracotta Warriors,We went to see the Terracotta Warriors.,We went to [verb phrase].,用来讲过去去做某件事。,We went to see the Terracotta Warriors.,4,000124,renjiao_start3,renjiao_start3::grade6-upper
KE000125,提问,想追问过去还做了什么的表达,,What else did you do?,What else did you do?,追问过去还做了什么的表达,What else did you do?,4,000125,renjiao_start3,renjiao_start3::grade6-upper
KE000126,询问过去的事,想问对方过去有没有做过某事,verb phrase: take a trip,Did you take a trip?,Did you [verb phrase]?,用来询问过去是否做过某事。,Did you take a trip? | Did you eat mooncakes?,4,000126,renjiao_start3,renjiao_start3::grade6-lower|renjiao_start3::grade6-upper
KE000127,否定回答,对方问某人过去是否做过某事，你想回答“没有”,subject pronoun: we,"No, we didn't.","No, [subject pronoun] didn't.",用来否定回答过去是否做过某事。,"No, we didn't.",4,000127,renjiao_start3,renjiao_start3::grade6-upper
KE000128,肯定回答,对方问某人过去是否做过某事，你想回答“做过”,subject pronoun: we,"Yes, we did.","Yes, [subject pronoun] did.",用来肯定回答过去是否做过某事。,"Yes, we did.",4,000128,renjiao_start3,renjiao_start3::grade6-lower|renjiao_start3::grade6-upper
KE000129,陈述,想说明过去某时去了某地或活动的叙述表达,subject: My mother and I · place/event: a marathon · past time: on Sunday,My mother and I went to a marathon on Sunday.,[Subject] went to [place/event] [past time].,说明过去某时去了某地或活动的叙述表达,My mother and I went to a marathon on Sunday.,4,000129,renjiao_start3,renjiao_start3::grade6-upper
KE000130,提问,想询问过去经历中喜欢某对象的哪一点,thing: it,What did you like about it?,What did you like about [thing]?,询问过去经历中喜欢某对象的哪一点,What did you like about it?,4,000130,renjiao_start3,renjiao_start3::grade6-upper
KE000131,陈述,想表达过去喜欢的事物或活动,thing activity: watching the runners,I liked watching the runners.,I liked [thing/activity].,表达过去喜欢的事物或活动,I liked watching the runners.,4,000131,renjiao_start3,renjiao_start3::grade6-upper
KE000132,提问,想询问对方当前身体或情绪感受的表达,,How do you feel?,How do you feel?,询问对方当前身体或情绪感受的表达,How do you feel?,4,000132,renjiao_start3,renjiao_start3::grade6-upper
KE000133,陈述,想表达自己当前身体或情绪状态,adjective: ill,I feel ill.,I feel [adjective].,表达自己当前身体或情绪状态,I feel ill. My head hurts and I have a runny nose.,4,000133,renjiao_start3,renjiao_start3::grade6-upper
KE000134,陈述,想描述身体某部位疼痛的健康表达,body part: head,My head hurts.,My [body part] hurts.,描述身体某部位疼痛的健康表达,I feel ill. My head hurts and I have a runny nose.,4,000134,renjiao_start3,renjiao_start3::grade6-upper
KE000135,陈述,想说明自己具有某个症状的健康场景表达,symptom: a runny nose,I have a runny nose.,I have [symptom].,说明自己具有某个症状的健康场景表达,I feel ill. My head hurts and I have a runny nose.,4,000135,renjiao_start3,renjiao_start3::grade6-upper
KE000136,表达,想表达这个意思：听到对方不适或坏消息后表达同情的固定语,,I'm sorry to hear that.,I'm sorry to hear that.,听到对方不适或坏消息后表达同情的固定语,I'm sorry to hear that. Maybe you should see a doctor.,4,000136,renjiao_start3,renjiao_start3::grade6-upper
KE000137,表达,想表达这个意思：用 Maybe you should 缓和地提出建议,verb phrase: see a doctor,Maybe you should see a doctor.,Maybe you should [verb phrase].,用 Maybe you should 缓和地提出建议,I'm sorry to hear that. Maybe you should see a doctor.,4,000137,renjiao_start3,renjiao_start3::grade6-upper
KE000138,陈述,想表达共同需要采取的行动,verb phrase: eat healthy food,We need to eat healthy food.,We need to [verb phrase].,表达共同需要采取的行动,We need to eat healthy food. We should exercise too.,4,000138,renjiao_start3,renjiao_start3::grade6-upper
KE000139,表达,想表达这个意思：一般性不要做某事或建议,verb phrase: stay up late,Don't stay up late.,Don't [verb phrase].,一般性不要做某事或建议,Don't stay up late.,4,000139,renjiao_start3,renjiao_start3::grade6-upper
KE000140,询问计划,想问对方打算怎样做一件事,verb phrase: spend it,How are you going to spend it?,How are you going to [verb phrase]?,用来询问对方完成计划的方式。,How are you going to spend it?,4,000140,renjiao_start3,renjiao_start3::grade6-upper
KE000141,说计划,想说自己接下来打算做什么,verb phrase: buy a schoolbag,I'm going to buy a schoolbag.,I'm going to [verb phrase].,用来说明自己的近期计划。,I'm going to buy a schoolbag. | I'm going to buy a pair of sunglasses for Grandpa.,4,000141,renjiao_start3,renjiao_start3::grade6-upper
KE000142,陈述,想表达自己想做某事的 表达,verb phrase: buy the new film magazine,I want to buy the new film magazine.,I want to [verb phrase].,表达自己想做某事的 表达,I also want to buy some animal books. | I also want to buy a microscope.,4,000142,renjiao_start3,renjiao_start3::grade6-lower|renjiao_start3::grade6-upper
KE000143,提问,想追问对方还打算做或买什么,verb: buy,What else are you going to buy?,What else are you going to [verb]?,追问对方还打算做或买什么,What else are you going to buy?,4,000143,renjiao_start3,renjiao_start3::grade6-upper
KE000144,提问,想询问在某处能看到什么的表达,place phrase: in the sky,What can you see in the sky?,What can you see [place phrase]?,询问在某处能看到什么的表达,What can you see in the sky?,4,000144,renjiao_start3,renjiao_start3::grade6-upper
KE000145,陈述,想说明在当前环境中能看到哪些事物,things: the Sun and clouds,We can see the Sun and clouds.,We can see [things].,说明在当前环境中能看到哪些事物,"We can see the Sun and clouds. | At night, we can see the Moon and the stars.",4,000145,renjiao_start3,renjiao_start3::grade6-upper
KE000146,提问,想询问某处是否存在不可数事物,uncountable noun: water · place phrase: on Mars,Is there any water on Mars?,Is there any [uncountable noun] [place phrase]?,询问某处是否存在不可数事物,Is there any water on Mars?,4,000146,renjiao_start3,renjiao_start3::grade6-upper
KE000147,陈述,想说明某处存在不可数事物,uncountable noun: soil · place phrase: too,There is soil too.,There is [uncountable noun] [place phrase].,说明某处存在不可数事物,"Yes, there is. There is soil too.",4,000147,renjiao_start3,renjiao_start3::grade6-upper
KE000148,表达,想转述他人或一般说法的 表达,clause: there aren't any living things,They say there aren't any living things.,They say [clause].,转述他人或一般说法的 表达,I don't think so. They say there aren't any living things.,4,000148,renjiao_start3,renjiao_start3::grade6-upper
KE000149,表达,想表达认为前述说法不成立的固定回应,,I don't think so.,I don't think so.,表达认为前述说法不成立的固定回应,I don't think so. They say there aren't any living things.,4,000149,renjiao_start3,renjiao_start3::grade6-upper
KE000150,提问,想询问对某主题已经知道些什么,thing: it,What do you know about it?,What do you know about [thing]?,询问对某主题已经知道些什么,What do you know about it?,4,000150,renjiao_start3,renjiao_start3::grade6-upper
KE000151,提问,想追问还想了解某主题的哪些内容,thing: water,What else do you want to know about water?,What else do you want to know about [thing]?,追问还想了解某主题的哪些内容,What else do you want to know about water?,4,000151,renjiao_start3,renjiao_start3::grade6-upper
KE000152,表达,想表达这个意思：用于把多个例子归入某一类别的说明表达,"items: Wind power, solar power and water power · category: green energy","Wind power, solar power and water power are types of green energy.",[Items] are types of [category].,用于把多个例子归入某一类别的说明表达,"Wind power, solar power and water power are types of green energy.",4,000152,renjiao_start3,renjiao_start3::grade6-upper
KE000153,提问,想表达这个意思：面对问题时询问应该采取什么行动的表达,,What should we do?,What should we do?,面对问题时询问应该采取什么行动的表达,What should we do?,4,000153,renjiao_start3,renjiao_start3::grade6-upper
KE000154,指出最突出的一个,想指出一组事物中最突出的那个,superlative adjective: tallest · noun: dinosaur · place phrase: in this hall,That's the tallest dinosaur in this hall.,That's the [superlative adjective] [noun] [place phrase].,用来指出某个范围内最突出的对象。,That's the tallest dinosaur in this hall.,4,000154,renjiao_start3,renjiao_start3::grade6-lower
KE000155,比较两个对象,想比较两个对象在某方面的不同,subject: Your feet · comparative adjective: bigger · target: mine,Your feet are bigger than mine.,[Subject] is/are [comparative adjective] than [target].,用来比较两个对象在某方面的差异。,It's taller than both of us together. | Your feet are bigger than mine. My shoes are size 37.,4,000155,renjiao_start3,renjiao_start3::grade6-lower
KE000156,提问,想询问身高的表达,,How tall are you?,How tall are you?,询问身高的表达,How tall are you?,4,000156,renjiao_start3,renjiao_start3::grade6-lower
KE000157,回答身高,别人问你的身高，你想告诉他,height: 1.65 metres,I'm 1.65 metres.,I'm [height].,用来回答自己的身高。,I'm 1.65 metres.,4,000157,renjiao_start3,renjiao_start3::grade6-lower
KE000158,提问,想询问鞋服等物品尺码的表达,items: shoes,What size are your shoes?,What size are your [items]?,询问鞋服等物品尺码的表达,"What size are your shoes, Mike?",4,000158,renjiao_start3,renjiao_start3::grade6-lower
KE000159,陈述,想说明鞋服等物品尺码的回答表达,items: my shoes · size: 37,My shoes are size 37.,[Items] are size [size].,说明鞋服等物品尺码的回答表达,Your feet are bigger than mine. My shoes are size 37.,4,000159,renjiao_start3,renjiao_start3::grade6-lower
KE000160,提问,想询问体重的表达,,How heavy are you?,How heavy are you?,询问体重的表达,How heavy are you?,4,000160,renjiao_start3,renjiao_start3::grade6-lower
KE000161,回答体重,别人问你的体重，你想告诉他,weight: 48 kilograms,I'm 48 kilograms.,I'm [weight].,用来回答自己的体重。,I'm 48 kilograms.,4,000161,renjiao_start3,renjiao_start3::grade6-lower
KE000162,提问,想表达这个意思：以问句追问过去是否还做了别的事情,,Did you do anything else?,Did you do anything else?,以问句追问过去是否还做了别的事情,Did you do anything else?,4,000162,renjiao_start3,renjiao_start3::grade6-lower
KE000163,提问,想询问发生了什么的表达,,What happened?,What happened?,询问发生了什么的表达,What happened?,4,000163,renjiao_start3,renjiao_start3::grade6-lower
KE000164,表达,想表达这个意思：看到异常时确认对方是否安好的关切表达,,Are you all right?,Are you all right?,看到异常时确认对方是否安好的关切表达,Are you all right?,4,000164,renjiao_start3,renjiao_start3::grade6-lower
KE000165,表达,想说明自己现在已经没事的回应,,I'm OK now.,I'm OK now.,说明自己现在已经没事的回应,I'm OK now.,4,000165,renjiao_start3,renjiao_start3::grade6-lower
KE000166,描述,想表达某物看起来像另一对象的表达,thing: a mule,It looks like a mule!,It looks like [thing].,表达某物看起来像另一对象的表达,It looks like a mule!,4,000166,renjiao_start3,renjiao_start3::grade6-lower
KE000167,提问,想询问过去采用什么方式去某地,place: there,How did you go there?,How did you go [place]?,询问过去采用什么方式去某地,How did you go there?,4,000167,renjiao_start3,renjiao_start3::grade6-lower
KE000168,陈述,想说明过去前往某地所用交通方式,place: there · transport: plane,We went there by plane.,We went [place] by [transport].,说明过去前往某地所用交通方式,We went there by plane.,4,000168,renjiao_start3,renjiao_start3::grade6-lower
KE000169,积极回应,听到一个不错的计划或经历，你想表示赞同,,Sounds great!,Sounds great!,用来积极回应一个听起来不错的计划或经历。,Sounds great!,4,000169,renjiao_start3,renjiao_start3::grade6-lower
KE000170,陈述,想说明过去某处没有某个单数事物,singular noun: library · place time: in my old school,There was no library in my old school.,There was no [singular noun] [place/time].,说明过去某处没有某个单数事物,There was no library in my old school.,4,000170,renjiao_start3,renjiao_start3::grade6-lower
KE000171,请求,想表达这个意思：礼貌请求对方介绍某个主题,person: us · topic: your school,"Tell us about your school, please.","Tell [person] about [topic], please.",礼貌请求对方介绍某个主题,"Tell us about your school, please.",4,000171,renjiao_start3,renjiao_start3::grade6-lower
KE000172,提问,想追问信息来源或判断依据的表达,,How do you know that?,How do you know that?,追问信息来源或判断依据的表达,How do you know that?,4,000172,renjiao_start3,renjiao_start3::grade6-lower
KE000173,陈述,想说明过去某处没有某些事物,things: computers or Internet · place/time: in my time,There were no computers or Internet in my time.,There were no [things] [place/time].,说明过去某处没有某些事物,There were no computers or Internet in my time.,4,000173,renjiao_start3,renjiao_start3::grade6-lower
KE000174,对比过去和现在,想说以前和现在有什么变化,before clause: I was quiet · now clause: I'm very active in class,"Before, I was quiet. Now, I'm very active in class.","Before, [clause]. Now, [clause].",用来对比过去和现在的状态。,"Before, I was quiet. Now, I'm very active in class.",4,000174,renjiao_start3,renjiao_start3::grade6-lower
KE000175,解释过去原因,想说明自己当时为什么做不到某事,adjective: short · verb phrase: ride my bike well,"I was short, so I couldn't ride my bike well.","I was [adjective], so I couldn't [verb phrase].",用过去的状态解释当时为什么做不到某事。,"I was short, so I couldn't ride my bike well. Now, I go cycling every day.",4,000175,renjiao_start3,renjiao_start3::grade6-lower
KE000176,说现在的新习惯,想说自己现在形成了什么新习惯,verb phrase: go cycling · frequency: every day,"Now, I go cycling every day.","Now, I [verb phrase] [frequency].",用来说明自己现在的新日常行为。,"I was short, so I couldn't ride my bike well. Now, I go cycling every day.",4,000176,renjiao_start3,renjiao_start3::grade6-lower
