NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV002225,new-third-party-stable,occupation,职业,职业,Please write your father's occupation on the form.,请在表格上填写你父亲的职业。,,[ˌɒkjuˈpeɪʃ(ə)n],[ˌɑːkjuˈpeɪʃn],stage::third-party-primary,002240,a5a7b60af5666456cda0f8048202853b2870a3a9a618b7218bdaaee93690c43a,model-curated-pending-review,third-party-learner-content-v1
KV002226,new-third-party-stable,Ocean Park,海洋公园,海洋公园,We saw dolphins at Ocean Park.,我们在海洋公园看到了海豚。,,,,stage::third-party-primary,002650,b120ba54d98f82c5de977c231856e59d64fab6ec411ba1f534d60106aab4607d,model-curated-pending-review,third-party-learner-content-v1
KV002227,new-third-party-stable,octopus,章鱼,章鱼,An octopus has eight arms.,章鱼有八条腕。,,[ˈɒktəpəs],[ˈɑːktəpʊs],stage::third-party-primary,002241,a549266c80aa025e4358807b787fdb63a0e0447b717882db30670db3c420e29e,model-curated-pending-review,third-party-learner-content-v1
KV002228,new-third-party-stable,of,……的；属于……的,……的；属于……的,The door of the classroom is open.,教室的门开着。,,[əv; ɒv],[əv; ʌv],stage::third-party-primary,001101,ff5a6dd0a2057c4adaddda36e8c10ef14531d876b410a33a80be4d1f68c70114,model-curated-pending-review,third-party-learner-content-v1
KV002229,new-third-party-stable,office building,办公楼,办公楼,Dad works in that office building.,爸爸在那栋办公楼里工作。,,,,stage::third-party-primary,002651,9390f5a9a11172bacd0c9568c180751cb70e44fc86633cfe3fab5025f3ac215c,model-curated-pending-review,third-party-learner-content-v1
KV002230,new-third-party-stable,official,官方的；正式的,官方的；正式的,This is the official school website.,这是学校的官方网站。,,[əˈfɪʃ(ə)l],[əˈfɪʃl],stage::third-party-primary,002242,6c11513ce6c282f5a29fc4d0254766c6ec74b545add5510293ebe43448d7cdda,model-curated-pending-review,third-party-learner-content-v1
KV002231,new-third-party-stable,oil,油,油,Put a little oil in the pan.,在锅里放一点油。,,[ɔɪl],[ɔɪl],stage::third-party-primary,001183,5f0f67e825a63fa5bc53da6228b3d93db9d98c0f9019f81e88c0757d37ecdac9,model-curated-pending-review,third-party-learner-content-v1
KV002232,new-third-party-stable,oil painting,油画,油画,She painted an oil painting of the sea.,她画了一幅大海的油画。,,[ˈɔɪl peɪntɪŋ],[ˈɔɪl peɪntɪŋ],stage::third-party-primary,002652,050ed047d2702a65349307e69c3de15004407d7612119285950d9cc3e63014d6,model-curated-pending-review,third-party-learner-content-v1
KV002233,new-third-party-stable,oily,油腻的；含油多的,油腻的；含油多的,These chips are too oily.,这些薯片太油腻了。,,[ˈɔɪli],[ˈɔɪli],stage::third-party-primary,002243,7fd6bbdd646cc8e675fda725a24971c76160a33ea8f6730abcce01a43e7437c3,model-curated-pending-review,third-party-learner-content-v1
KV002234,new-third-party-stable,oldest,最老的；最旧的,最老的；最旧的,This is the oldest tree in the park.,这是公园里最老的树。,,[ˈəʊldɪst],[oldɪst],stage::third-party-primary,002244,1ce9defdc266c608455a3575d863d88bc16527dc0f103baf9d587505d0c59d2f,model-curated-pending-review,third-party-learner-content-v1
