Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,MeaningStatus,FirstBook,Grade,Semester,Books,SourceFiles,Tags
favourite,[ˈfeɪvərɪt],[ˈfeɪvərɪt],最喜欢的,Spring is my favourite season.,春天是我最喜欢的季节。,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
season,[ˈsiːzn],[ˈsiːzn],季节,What is your favourite season?,你最喜欢哪个季节？,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
eleven,[ɪˈlev(ə)n],[ɪˈlevn],十一；十一个,I have eleven books.,我有十一本书。,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
twelve,[twelv],[twelv],十二；十二个,I have twelve books.,我有十二本书。,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
twenty,[ˈtwenti],[ˈtwenti],二十,I have twenty pencils.,我有二十支铅笔。,"num. 二十
n. 二十；二十年代
adj. 二十的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
thirty,[ˈθɜːti],[ˈθɜːrti],三十,There are thirty books.,有三十本书。,"num. 三十
n. 三十年代
adj. 三十个的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
forty,[ˈfɔːti],[ˈfɔːrti],四十,There are forty pencils.,有四十支铅笔。,"n. 四十
adj. 四十的；四十个的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
fifty,[ˈfɪfti],[ˈfɪfti],五十,There are fifty books.,有五十本书。,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
thirteen,[ˌθɜːˈtiːn],[ˌθɜːrˈtiːn],十三；十三个,I have thirteen books.,我有十三本书。,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
fourteen,[ˌfɔːˈtiːn],[ˌfɔːrˈtiːn],十四；十四个,I have fourteen pencils.,我有十四支铅笔。,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
fifteen,[ˌfɪfˈtiːn],[ˌfɪfˈtiːn],十五；十五个,I have fifteen books.,我有十五本书。,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
time,[taɪm],[taɪm],时间；时刻,What time is it?,几点了？,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
playtime,[ˈpleɪtaɪm],[ˈpleɪtaɪm],游戏时间；课间活动时间,It is playtime.,到游戏时间了。,n. 游戏或娱乐的时间；开幕时刻,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
get up,[ɡet ʌp],[ɡet ʌp],起床,I get up at seven.,我七点起床。,na. 起床；起身；站起来；叫…起床,curated,2年级下,2,下,2年级下|4年级上,人教版一年级起点二年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
eat breakfast,[i:t ˈbrekfəst],[iːt ˈbrekfəst],吃早饭,I eat breakfast at seven.,我七点吃早饭。,吃早饭；吃早餐；食早餐,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
go to school,,,去上学,I go to school at eight.,我八点去上学。,na. 到校上课；上学去；开始求学,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
eat lunch,,,吃午饭,I eat lunch at twelve.,我十二点吃午饭。,吃午饭；吃午餐；吃中午饭,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
go home,,,回家,I go home at five.,我五点回家。,na. 回家；〈口〉死；(忠告等)刻骨铭心；击中,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
eat dinner,,,吃晚饭,I eat dinner at six.,我六点吃晚饭。,吃晚饭；吃晚餐；吃饭,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
go to bed,,,上床睡觉,I go to bed at nine.,我九点上床睡觉。,na. 睡；同床；【印】付印,curated,2年级下,2,下,2年级下|5年级下,人教版一年级起点二年级下.xlsx|人教版一年级起点五年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::5年级下
when,[wen],[wen],什么时候,When do you get up?,你什么时候起床？,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
every day,,,每天,I go to school every day.,我每天去上学。,na. 每日,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
at,[ət],[ət; æt],在……时刻,I get up at seven.,我七点起床。,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
Sunday,[ˈsʌndeɪ],[ˈsʌndeɪ],星期日,Today is Sunday.,今天是星期日。,n. 星期日；礼拜日,curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
Monday,[ˈmʌndeɪ],[ˈmʌndeɪ],星期一,Today is Monday.,今天是星期一。,n. 星期一,curated,2年级下,2,下,2年级下|4年级上,人教版一年级起点二年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Tuesday,[ˈtjuːzdeɪ],[ˈtuːzdeɪ],星期二,Today is Tuesday.,今天是星期二。,n. 星期二,curated,2年级下,2,下,2年级下|4年级上,人教版一年级起点二年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Wednesday,[ˈwenzdeɪ],[ˈwenzdeɪ],星期三,Today is Wednesday.,今天是星期三。,n. 星期三,curated,2年级下,2,下,2年级下|4年级上,人教版一年级起点二年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Thursday,[ˈθɜːzdeɪ],[ˈθɜːrzdeɪ],星期四,Today is Thursday.,今天是星期四。,n. 星期四,curated,2年级下,2,下,2年级下|4年级上,人教版一年级起点二年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Friday,[ˈfraɪdeɪ],[ˈfraɪdeɪ],星期五,Today is Friday.,今天是星期五。,n. 星期五,curated,2年级下,2,下,2年级下|4年级上,人教版一年级起点二年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Saturday,[ˈsætədeɪ],[ˈsætərdeɪ],星期六,Today is Saturday.,今天是星期六。,n. 星期六,curated,2年级下,2,下,2年级下|4年级上,人教版一年级起点二年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
today,[təˈdeɪ],[təˈdeɪ],今天,It is sunny today.,今天是晴天。,"n. 今天；现今
adv. 今天；现今",curated,2年级下,2,下,2年级下,人教版一年级起点二年级下.xlsx,rj_start1 grade::2 semester::下 appears::2年级下
year,[jɪə(r)],[jɪr],年；岁,I am nine years old.,我九岁。,n. 年；年度；历年；年纪；一年的期间；某年级的学生,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
old,[əʊld],[oʊld],……岁的；年老的,How old are you?,你几岁？,"adj. 陈旧的，古老的；年老的
n. 古时",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
how old,,,几岁；多大,How old is your sister?,你妹妹几岁？,conj. 多少岁,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
class,[klɑːs],[klæs],班；班级,I am in Class One.,我在一班。,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
grade,[ɡreɪd],[ɡreɪd],年级,I am in Grade Three.,我上三年级。,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
age,[eɪdʒ],[eɪdʒ],年龄,What is your age?,你多大年龄？,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
dear,[dɪə(r)],[dɪr],亲爱的,Dear Amy thank you.,亲爱的艾米，谢谢你。,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
body,[ˈbɒdi],[ˈbɑːdi],身体,My body is strong.,我的身体很强壮。,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
head,[hed],[hed],头；头部,My head hurts.,我的头疼。,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
hair,[heə(r)],[her],头发,Her hair is long.,她的头发很长。,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
arm,[ɑːm],[ɑːrm],手臂,My arm hurts.,我的手臂疼。,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
hand,[hænd],[hænd],手,This is my hand.,这是我的手。,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
leg,[leɡ],[leɡ],腿,My leg hurts.,我的腿疼。,n. 腿；支柱,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
foot,[fʊt],[fʊt],脚,My foot hurts.,我的脚疼。,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
feet,[fiːt],[fiːt],脚（foot的复数）,My feet are cold.,我的脚很冷。,n. 脚（foot的复数形式）；尺；韵脚,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
the matter,,,问题；怎么了,What's the matter?,怎么了？,有问题，有毛病,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
hurt,[hɜːt],[hɜːrt],疼；受伤,My leg hurts.,我的腿疼。,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦",curated,3年级上,3,上,3年级上|6年级上,人教版一年级起点三年级上.xlsx|人教版一年级起点六年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上 appears::6年级上
help,[help],[help],帮助；帮忙,Can I help you?,我能帮你吗？,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
bad,[bæd],[bæd],坏的；糟糕的,That is too bad.,那太糟糕了。,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
bite,[baɪt],[baɪt],咬,The dog can bite.,狗会咬人。,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
tongue,[tʌŋ],[tʌŋ],舌头,My tongue hurts.,我的舌头疼。,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
kick,[kɪk],[kɪk],踢,Don't kick the ball here.,不要在这里踢球。,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
morning,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],早晨；上午,It is morning.,现在是早晨。,n. 早晨；黎明；初期,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
afternoon,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],下午,It is afternoon.,现在是下午。,n. 午后，下午,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
summary,[ˈsʌməri],[ˈsʌməri],总结；概要,This is the summary.,这是总结。,"n. 概要，摘要，总结
adj. 简易的；扼要的",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
bread,[bred],[bred],面包,I want some bread.,我想要一些面包。,"n. 面包；生计
vt. 在…上洒面包屑",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
cake,[keɪk],[keɪk],蛋糕,I like cake.,我喜欢蛋糕。,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
fruit,[fruːt],[fruːt],水果,I like fruit.,我喜欢水果。,"n. 水果；产物
vt. 使……结果实
vi. 结果实",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
ice-cream,[ˈaɪs kriːm],[ˈaɪs kriːm],冰淇淋,I like ice-cream.,我喜欢冰淇淋。,"a. 冰淇淋的, 乳白色的",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
potato,[pəˈteɪtəʊ],[pəˈteɪtoʊ],土豆；马铃薯,I want some potatoes.,我想要一些土豆。,n. [作物] 土豆，[作物] 马铃薯,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
tomato,[təˈmɑːtəʊ],[təˈmeɪtoʊ],西红柿；番茄,I like tomatoes.,我喜欢西红柿。,n. 番茄，西红柿,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
meat,[miːt],[miːt],肉；肉类,I want some meat.,我想要一些肉。,n. 肉，肉类（食用）,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
shopping list,,,购物清单,This is my shopping list.,这是我的购物清单。,n. 购物单；采购单,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
cola,[ˈkəʊlə],[ˈkoʊlə],可乐,I don't like cola.,我不喜欢可乐。,n. 可乐；可乐树（其子含咖啡碱）,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
buy,[baɪ],[baɪ],买；购买,I want to buy fruit.,我想买水果。,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
vegetables,[ˈvedʒtəb(ə)lz],[ˈvedʒtəb(ə)lz],蔬菜,I like vegetables.,我喜欢蔬菜。,n. [园艺] 蔬菜（vegetable的复数形式）；菜类,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
duck,[dʌk],[dʌk],鸭子,The duck is in the water.,鸭子在水里。,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
rabbit,[ˈræbɪt],[ˈræbɪt],兔子,The rabbit has long ears.,兔子有长耳朵。,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
pet,[pet],[pet],宠物,My cat is my pet.,我的猫是我的宠物。,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
snake,[sneɪk],[sneɪk],蛇,The snake is long.,这条蛇很长。,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
turtle,[ˈtɜːt(ə)l],[ˈtɜːrtl],乌龟,The turtle is small.,这只乌龟很小。,n. 龟，甲鱼；海龟,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
small,[smɔːl],[smɔːl],小的,The turtle is small.,这只乌龟很小。,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
long,[lɒŋ],[lɔːŋ],长的,The snake is long.,这条蛇很长。,"n. 长时间；[语] 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
look for,[ˈlʊk fɔː(r)],[ˈlʊk fɔːr],寻找,I am looking for my cat.,我在找我的猫。,v. 寻找；探索；渴望；盼望,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
tail,[teɪl],[teɪl],尾巴,The dog has a long tail.,狗有一条长尾巴。,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
dance,[dɑːns],[dæns],跳舞,I like to dance.,我喜欢跳舞。,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬",curated,3年级上,3,上,3年级上|3年级下,人教版一年级起点三年级上.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::3 semester::上 appears::3年级上 appears::3年级下
cap,[kæp],[kæp],帽子；便帽,Wear your cap.,戴上你的帽子。,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
coat,[kəʊt],[koʊt],外套,Wear your coat.,穿上你的外套。,"n. 外套
vt. 覆盖…的表面",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
shoes,['ʃu:z],[ʃuːz],鞋,These are my shoes.,这是我的鞋。,"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
sweater,[ˈswetə(r)],[ˈswetər],毛衣,Wear your sweater.,穿上你的毛衣。,n. 毛线衣，运动衫；大量出汗的人，发汗剂,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
jacket,[ˈdʒækɪt],[ˈdʒækɪt],夹克衫,This is my jacket.,这是我的夹克衫。,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；〈口〉打",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
gloves,[ɡlʌvz],[ɡlʌvz],手套,Wear your gloves.,戴上你的手套。,"n. [服装] 手套（glove的复数）
v. 给…戴手套（glove的三单形式）",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
trousers,[ˈtraʊzəz],[ˈtraʊzərz],裤子；长裤,These are my trousers.,这是我的裤子。,n. 裤子，长裤,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
should,[ʃəd; ʃʊd],[ʃəd; ʃʊd],应该,You should wear a coat.,你应该穿外套。,aux. 应该；就；可能；将要,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
wear,[weə(r)],[wer],穿；戴,I wear a coat in winter.,我冬天穿外套。,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
week,[wiːk],[wiːk],星期；周,I go swimming every week.,我每周去游泳。,n. 周，星期,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
soon,[suːn],[suːn],很快；不久,My birthday is soon.,我的生日快到了。,adv. 快；不久，一会儿；立刻；宁愿,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
look forward to,,,期待；盼望,I look forward to my birthday.,我期待我的生日。,na. 盼望,curated,3年级上,3,上,3年级上|6年级上,人教版一年级起点三年级上.xlsx|人教版一年级起点六年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上 appears::6年级上
January,[ˈdʒænjuəri],[ˈdʒænjueri],一月,My birthday is in January.,我的生日在一月。,n. 一月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
February,[ˈfebruəri],[ˈfebrueri],二月,My birthday is in February.,我的生日在二月。,n. 二月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
March,[mɑːtʃ],[mɑːrtʃ],三月,March is in spring.,三月在春季。,n. 三月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
April,[ˈeɪprəl],[ˈeɪprəl],四月,April is in spring.,四月在春季。,n. 四月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
May,[meɪ],[meɪ],五月,My birthday is in May.,我的生日在五月。,aux. 可以，能够；可能，也许；祝，愿；会，能,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
June,[dʒuːn],[dʒuːn],六月,June is in summer.,六月在夏季。,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
July,[dʒʊˈlaɪ],[dʒʊˈlaɪ],七月,July is in summer.,七月在夏季。,n. 七月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
August,[ˈɔːɡəst],[ˈɔːɡəst],八月,August is in summer.,八月在夏季。,"n. 八月（简写为Aug）
adj. 威严的；令人敬畏的",curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
September,[sepˈtembə(r)],[sepˈtembər],九月,September is in autumn.,九月在秋季。,n. 九月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
October,[ɒkˈtəʊbə(r)],[ɑːkˈtoʊbər],十月,October is in autumn.,十月在秋季。,n. [天] 十月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
November,[nəʊˈvembə(r)],[noʊˈvembər],十一月,November is in autumn.,十一月在秋季。,n. 十一月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
December,[dɪˈsembə(r)],[dɪˈsembər],十二月,Christmas is in December.,圣诞节在十二月。,n. 十二月,curated,3年级上,3,上,3年级上,人教版一年级起点三年级上.xlsx,rj_start1 grade::3 semester::上 appears::3年级上
